urban_rural_type,AQI_mean_mean,AQI_mean_count,road_density_m_km2_mean,population_density_mean,road_coverage_index_mean,major_roads_exposure_index_mean,avg_yoy_pct_change_mean
peri-urban,60.53598078790156,9,3757.436202566368,675.3333333333334,0.8863871738167091,0.5086621552063497,14.363307708331563
rural,60.75044617889322,18,3156.13559374955,515.8888888888889,0.8834375890810283,0.5147729396310106,14.080359340856639
urban,65.22030324596996,4,6304.320450370252,2261.0,0.9631014083927285,0.6271301901348695,13.55086349610686
