sector,poor_percent,avg_deprivation_intensity,poverty_index,district
Gashaki,0.254,0.383,0.097,Musanze
Gataraga,0.355,0.43,0.153,Musanze
Kimonyi,0.368,0.439,0.162,Musanze
Kinigi,0.308,0.407,0.125,Musanze
Muhoza,0.103,0.406,0.042,Musanze
Muko,0.319,0.413,0.132,Musanze
Musanze,0.316,0.44,0.139,Musanze
Nkotsi,0.289,0.4,0.116,Musanze
Nyange,0.348,0.416,0.145,Musanze
Remera,0.254,0.384,0.098,Musanze
Rwaza,0.335,0.402,0.135,Musanze
Shingiro,0.442,0.437,0.193,Musanze
Bungwe,0.337,0.391,0.132,Burera
Butaro,0.323,0.4,0.129,Burera
Cyanika,0.387,0.413,0.16,Burera
Cyeru,0.315,0.401,0.126,Burera
Gahunga,0.377,0.42,0.158,Burera
Gatebe,0.401,0.42,0.168,Burera
Gitovu,0.309,0.402,0.124,Burera
Kagogo,0.387,0.411,0.159,Burera
Kinoni,0.304,0.404,0.123,Burera
Kinyababa,0.34,0.413,0.141,Burera
Kivuye,0.32,0.393,0.126,Burera
Nemba,0.337,0.404,0.136,Burera
Rugarama,0.321,0.407,0.13,Burera
Rugengabari,0.354,0.403,0.143,Burera
Ruhunde,0.331,0.401,0.132,Burera
Rusarabuye,0.296,0.397,0.117,Burera
Rwerere,0.321,0.406,0.13,Burera
Bukure,0.333,0.412,0.138,Gicumbi
Bwisige,0.311,0.4,0.124,Gicumbi
Byumba,0.213,0.409,0.087,Gicumbi
Cyumba,0.319,0.397,0.127,Gicumbi
Giti,0.4,0.426,0.17,Gicumbi
Kageyo,0.317,0.407,0.129,Gicumbi
Kaniga,0.287,0.397,0.114,Gicumbi
Manyagiro,0.365,0.405,0.148,Gicumbi
Miyove,0.394,0.413,0.163,Gicumbi
Mukarange,0.297,0.403,0.12,Gicumbi
Muko,0.313,0.411,0.129,Gicumbi
Mutete,0.299,0.415,0.124,Gicumbi
Nyamiyaga,0.395,0.412,0.163,Gicumbi
Nyankenke,0.333,0.394,0.131,Gicumbi
Rubaya,0.386,0.407,0.157,Gicumbi
Rukomo,0.301,0.412,0.124,Gicumbi
Rushaki,0.295,0.404,0.119,Gicumbi
Rutare,0.307,0.412,0.127,Gicumbi
Ruvune,0.364,0.418,0.152,Gicumbi
Rwamiko,0.285,0.407,0.116,Gicumbi
Shangasha,0.278,0.394,0.11,Gicumbi
Fumbwe,0.293,0.438,0.128,Rwamagana
Gahengeri,0.346,0.433,0.15,Rwamagana
Gishali,0.27,0.423,0.114,Rwamagana
Karenge,0.24,0.4,0.096,Rwamagana
Kigabiro,0.176,0.418,0.074,Rwamagana
Muhazi,0.207,0.414,0.086,Rwamagana
Munyaga,0.403,0.41,0.165,Rwamagana
Munyiginya,0.289,0.42,0.122,Rwamagana
Musha,0.361,0.427,0.154,Rwamagana
Muyumbu,0.182,0.414,0.075,Rwamagana
Mwulire,0.267,0.426,0.114,Rwamagana
Nyakaliro,0.188,0.404,0.076,Rwamagana
Nzige,0.336,0.421,0.141,Rwamagana
Rubona,0.376,0.431,0.162,Rwamagana
Gatunda,0.366,0.415,0.152,Nyagatare
Karama,0.391,0.425,0.166,Nyagatare
Karangazi,0.417,0.46,0.192,Nyagatare
Katabagemu,0.368,0.427,0.157,Nyagatare
Kiyombe,0.374,0.412,0.154,Nyagatare
Matimba,0.32,0.425,0.136,Nyagatare
Mimuri,0.387,0.431,0.167,Nyagatare
Mukama,0.41,0.427,0.175,Nyagatare
Musheri,0.449,0.447,0.201,Nyagatare
