Name,Dist_ID,District,Prov_ID,Province,Sect_ID,NO2_mean,CO_mean,SO2_mean,O3_mean
Gikonko,22,Gisagara,2,Southern Province,2201,4.320605330841819e-05,0.03185601848402398,6.693693754925463e-06,0.11864951338602564
Gishubi,22,Gisagara,2,Southern Province,2202,4.362870190486863e-05,0.03195166813024807,1.8234589605171e-05,0.1185746779552359
Kansi,22,Gisagara,2,Southern Province,2203,4.14154818116103e-05,0.0312170377939193,3.8344728568220765e-07,0.11868957877492492
Kibirizi,22,Gisagara,2,Southern Province,2204,4.2076679130162387e-05,0.030974881356911666,2.6539091507062667e-05,0.11867052121633107
Kigembe,22,Gisagara,2,Southern Province,2205,4.205107112290321e-05,0.03146864835153033,1.5153788345107995e-05,0.11868764477154269
Mamba,22,Gisagara,2,Southern Province,2206,4.3755709904726946e-05,0.0322345934574765,1.633663928817851e-05,0.11867986722660634
Muganza,22,Gisagara,2,Southern Province,2207,4.341055308020885e-05,0.031753597117226945,2.0020502279322743e-05,0.11867962314499074
Mugombwa,22,Gisagara,2,Southern Province,2208,4.214432393389272e-05,0.031575104737196616,3.978184610165768e-05,0.11873774839264067
Mukindo,22,Gisagara,2,Southern Province,2209,4.336066002950072e-05,0.03179420211657597,6.428091410775828e-06,0.11876789272374126
Musha,22,Gisagara,2,Southern Province,2210,4.27459936441113e-05,0.03151947051945668,1.9279589696288978e-05,0.11865148471963799
Ndora,22,Gisagara,2,Southern Province,2211,4.2440825637000066e-05,0.031415677423783095,1.577920723985176e-05,0.11864594440492261
Nyanza,22,Gisagara,2,Southern Province,2212,4.317558940768747e-05,0.03128627924329231,1.4151559458791736e-06,0.11869768905908426
Save,22,Gisagara,2,Southern Province,2213,4.173088955238931e-05,0.030784834013823766,7.550476635145451e-06,0.11865285341891121
Busanze,23,Nyaruguru,2,Southern Province,2301,4.187280483187138e-05,0.028725611381530968,-2.311114345117458e-05,0.11854779174821382
