system:index,NO2_column_number_density,month,sector,year,.geo
0_00000000000000000039,3.78E-05,1,Save,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000003a,3.54E-05,1,Busanze,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000003b,3.50E-05,1,Cyahinda,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000003c,3.61E-05,1,Kibeho,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000003d,3.36E-05,1,Kivu,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000003e,3.67E-05,1,Mata,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000003f,3.51E-05,1,Muganza,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000040,3.58E-05,1,Munini,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000041,3.68E-05,1,Ngera,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000042,3.57E-05,1,Ngoma,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000043,3.48E-05,1,Nyabimata,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000044,3.48E-05,1,Nyagisozi,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000045,3.56E-05,1,Ruheru,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000046,3.54E-05,1,Ruramba,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000047,3.62E-05,1,Rusenge,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000048,3.73E-05,1,Gishamvu,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000049,3.83E-05,1,Huye,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000004a,3.71E-05,1,Karama,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000004b,3.72E-05,1,Kigoma,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000004c,3.82E-05,1,Kinazi,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000004d,3.67E-05,1,Maraba,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000004e,3.78E-05,1,Mbazi,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000004f,3.75E-05,1,Mukura,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000050,3.86E-05,1,Ngoma,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000051,3.71E-05,1,Ruhashya,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000052,3.87E-05,1,Rusatira,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000053,3.88E-05,1,Rwaniro,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000054,3.70E-05,1,Simbi,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000055,3.80E-05,1,Tumba,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000056,3.43E-05,1,Buruhukiro,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000057,3.61E-05,1,Cyanika,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000058,3.51E-05,1,Gasaka,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000059,3.60E-05,1,Gatare,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000005a,3.55E-05,1,Kaduha,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000005b,3.61E-05,1,Kamegeri,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000005c,3.42E-05,1,Kibirizi,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000005d,3.62E-05,1,Kibumbwe,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000005e,3.44E-05,1,Kitabi,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
