Dist_ID,District,Name,Prov_ID,Province,Sect_ID,NO2_mean,year,month,date,CO_mean,SO2_mean,O3_mean,AER_mean,CH4_mean
11,Nyarugenge,Gitega,1,Kigali City,1101,4.107591146600392e-05,2020,1,2020-01,0.03891031893559194,-4.5537846860326996e-05,0.11105579551569732,-1.2523673352473992,
11,Nyarugenge,Gitega,1,Kigali City,1101,3.913696984802127e-05,2020,2,2020-02,0.03475839843450208,-6.027023992738885e-07,0.11340434478665853,-1.3774234205248392,
11,Nyarugenge,Gitega,1,Kigali City,1101,3.77697060092245e-05,2020,3,2020-03,0.03556477597139863,1.0195812517858915e-05,0.11672715075939628,-1.5247109553526714,
11,Nyarugenge,Gitega,1,Kigali City,1101,3.7723142899766975e-05,2020,4,2020-04,0.031161724562313847,0.0003465082661037299,0.1164573394664408,-1.3927313663441594,
11,Nyarugenge,Gitega,1,Kigali City,1101,4.2694397923625076e-05,2020,5,2020-05,0.027598512704093227,4.715641862373256e-05,0.11480876554505384,-1.5357922269773867,
11,Nyarugenge,Gitega,1,Kigali City,1101,5.309235909843903e-05,2020,6,2020-06,0.03254437841795807,0.0001285469999076997,0.11718319896393689,-1.3436938110339929,
11,Nyarugenge,Gitega,1,Kigali City,1101,5.313931320445237e-05,2020,7,2020-07,0.036975429264752356,0.0005380404237081833,0.11832011242484622,-1.5560088931894995,
11,Nyarugenge,Gitega,1,Kigali City,1101,5.6897301884318915e-05,2020,8,2020-08,0.040438389046740464,-0.00011748797241940282,0.11989981323694032,-1.4244661056227912,
11,Nyarugenge,Gitega,1,Kigali City,1101,4.88223740366213e-05,2020,9,2020-09,0.038693334236754154,-3.666296872604771e-05,0.12081169742306112,-1.3115383608738238,
11,Nyarugenge,Gitega,1,Kigali City,1101,4.5922662359968656e-05,2020,10,2020-10,0.033967540451391665,-3.369206191927581e-05,0.12326762123819453,-1.2007464200408102,
11,Nyarugenge,Gitega,1,Kigali City,1101,4.5441017583100524e-05,2020,11,2020-11,0.03228991454558248,0.0001893802329199648,0.1187726884014717,-1.5969552481062066,
11,Nyarugenge,Gitega,1,Kigali City,1101,4.531632663038795e-05,2020,12,2020-12,0.03290236883871425,-5.452260614397578e-05,0.11569300342334922,-1.4229688541034229,
11,Nyarugenge,Gitega,1,Kigali City,1101,4.007690921986944e-05,2021,1,2021-01,0.036901199089799726,-0.00017327714881992204,0.11246961830766439,-1.4495773712558357,
11,Nyarugenge,Gitega,1,Kigali City,1101,4.3255665824392364e-05,2021,2,2021-02,0.046974300279482135,-3.634784678957253e-05,0.11748913201190676,-1.1936481071788108,
11,Nyarugenge,Gitega,1,Kigali City,1101,4.215776970851935e-05,2021,3,2021-03,0.033381297223345305,-4.9032828805010354e-05,0.11924996380369769,-1.4163026696598249,
11,Nyarugenge,Gitega,1,Kigali City,1101,3.9567788418818956e-05,2021,4,2021-04,0.026578444967736863,-2.1568589979976793e-05,0.11926086498845151,-1.5942064772143234,
11,Nyarugenge,Gitega,1,Kigali City,1101,4.312581057283488e-05,2021,5,2021-05,0.0285958762536913,0.0002772559131990985,0.1161515736021757,-1.7286073010038459,
11,Nyarugenge,Gitega,1,Kigali City,1101,6.0036279092389776e-05,2021,6,2021-06,0.03258129525871384,0.00017883156227315413,0.11782278328868757,-1.5502866233163726,
11,Nyarugenge,Gitega,1,Kigali City,1101,6.275522298731223e-05,2021,7,2021-07,0.039670261532504573,2.3934791857068863e-05,0.11782661523846036,-0.4416723414975801,1863.011942038628
11,Nyarugenge,Gitega,1,Kigali City,1101,6.181920210073686e-05,2021,8,2021-08,0.040521770829836753,7.517734638491598e-05,0.11844407862446622,-0.5815184499060992,
11,Nyarugenge,Gitega,1,Kigali City,1101,5.598871307877591e-05,2021,9,2021-09,0.037057366529129686,-7.6594531127089e-05,0.11945187631263472,-0.9732520856778862,
11,Nyarugenge,Gitega,1,Kigali City,1101,5.86237304682963e-05,2021,10,2021-10,0.033178169966160194,0.00016839795603900613,0.1194765078876857,-0.7176627921295659,
11,Nyarugenge,Gitega,1,Kigali City,1101,5.808445044778378e-05,2021,11,2021-11,0.03377609958236544,0.00015837612561321433,0.11751280044976091,-0.7389223249158243,
11,Nyarugenge,Gitega,1,Kigali City,1101,4.837929892928233e-05,2021,12,2021-12,0.03238529536569726,-0.00011778087939598984,0.11294287990872164,-0.8729452137980113,
11,Nyarugenge,Gitega,1,Kigali City,1101,4.821539783774635e-05,2022,1,2022-01,0.039533413869257295,7.272362816582039e-05,0.11228906962569858,-0.7111585879603635,
11,Nyarugenge,Gitega,1,Kigali City,1101,4.5971824184117266e-05,2022,2,2022-02,0.04606028834386037,0.00015718844227652386,0.1143152402683282,-0.700887711166275,
