sector,non_poor,vulnerable,moderately_poor,severely_poor,total,count,district,poor_percent,avg_deprivation_intensity,poverty_index
  Rusarabuye,44.4,26.0,26.2,3.4,100,19473,Burera,0.296,0.397,0.117
  Rwerere,41.3,26.6,27.5,4.6,100,20397,Burera,0.321,0.406,0.13
  Bukure,43.1,23.6,26.9,6.5,100,19089,Gicumbi,0.333,0.412,0.138
  Bwisige,36.6,32.3,27.5,3.6,100,17306,Gicumbi,0.311,0.4,0.124
  Byumba,57.0,21.7,18.0,3.3,100,43033,Gicumbi,0.213,0.409,0.087
  Cyumba,43.1,25.0,28.0,3.9,100,16806,Gicumbi,0.319,0.397,0.127
  Giti,35.0,25.0,30.5,9.5,100,16650,Gicumbi,0.4,0.426,0.17
  Kageyo,39.9,28.4,27.4,4.3,100,19969,Gicumbi,0.317,0.407,0.129
  Kaniga,48.3,23.0,24.7,4.0,100,16006,Gicumbi,0.287,0.397,0.114
  Manyagiro,37.1,26.3,31.3,5.2,100,21908,Gicumbi,0.365,0.405,0.148
  Miyove,33.1,27.6,33.0,6.4,100,20545,Gicumbi,0.394,0.413,0.163
  Mukarange,40.7,29.6,26.2,3.5,100,17718,Gicumbi,0.297,0.403,0.12
  Muko,42.4,26.3,25.8,5.5,100,20209,Gicumbi,0.313,0.411,0.129
  Mutete,43.5,26.6,24.8,5.1,100,27950,Gicumbi,0.299,0.415,0.124
  Nyamiyaga,35.0,25.5,32.4,7.1,100,20217,Gicumbi,0.395,0.412,0.163
  Nyankenke,38.5,28.3,30.1,3.2,100,23376,Gicumbi,0.333,0.394,0.131
  Rubaya,36.6,24.8,31.7,6.9,100,11812,Gicumbi,0.386,0.407,0.157
  Rukomo,38.1,31.8,25.3,4.8,100,27674,Gicumbi,0.301,0.412,0.124
  Rushaki,43.5,27.0,26.0,3.5,100,14571,Gicumbi,0.295,0.404,0.119
  Rutare,42.0,27.2,25.7,5.0,100,27606,Gicumbi,0.307,0.412,0.127
  Ruvune,36.2,27.4,29.6,6.8,100,22324,Gicumbi,0.364,0.418,0.152
  Rwamiko,46.0,25.6,24.6,3.8,100,14487,Gicumbi,0.285,0.407,0.116
  Shangasha,40.7,31.5,25.3,2.5,100,18082,Gicumbi,0.278,0.394,0.11
  Fumbwe,51.2,19.5,21.2,8.1,100,33544,Rwamagana,0.293,0.438,0.128
  Gahengeri,43.4,21.9,25.7,8.9,100,36463,Rwamagana,0.346,0.433,0.15
  Gishali,52.8,20.3,20.7,6.3,100,35720,Rwamagana,0.27,0.423,0.114
  Karenge,55.0,21.0,20.7,3.3,100,30062,Rwamagana,0.24,0.4,0.096
  Kigabiro,67.0,15.4,13.6,4.0,100,52218,Rwamagana,0.176,0.418,0.074
  Muhazi,60.7,18.6,16.5,4.2,100,35984,Rwamagana,0.207,0.414,0.086
  Munyaga,37.6,22.1,32.0,8.2,100,22272,Rwamagana,0.403,0.41,0.165
  Munyiginya,48.1,22.9,22.4,6.5,100,25043,Rwamagana,0.289,0.42,0.122
  Musha,40.7,23.1,27.6,8.5,100,27614,Rwamagana,0.361,0.427,0.154
  Muyumbu,63.3,18.5,14.5,3.6,100,60059,Rwamagana,0.182,0.414,0.075
  Mwulire,52.8,20.5,20.5,6.3,100,34788,Rwamagana,0.267,0.426,0.114
  Nyakaliro,62.1,19.1,15.7,3.2,100,38695,Rwamagana,0.188,0.404,0.076
  Nzige,42.6,23.7,26.7,6.9,100,20125,Rwamagana,0.336,0.421,0.141
  Rubona,38.4,24.0,28.1,9.5,100,31449,Rwamagana,0.376,0.431,0.162
  Gatunda,39.7,23.6,29.1,7.5,100,36547,Nyagatare,0.366,0.415,0.152
  Karama,34.2,26.6,31.1,8.1,100,33037,Nyagatare,0.391,0.425,0.166
  Karangazi,34.7,23.6,27.9,13.8,100,92748,Nyagatare,0.417,0.46,0.192
  Katabagemu,38.2,25.0,28.5,8.3,100,43261,Nyagatare,0.368,0.427,0.157
  Kiyombe,35.0,27.6,31.9,5.5,100,19273,Nyagatare,0.374,0.412,0.154
  Matimba,45.9,22.0,25.0,7.0,100,28442,Nyagatare,0.32,0.425,0.136
  Mimuri,36.5,24.7,29.2,9.6,100,36771,Nyagatare,0.387,0.431,0.167
  Mukama,30.9,28.1,32.2,8.9,100,26827,Nyagatare,0.41,0.427,0.175
  Musheri,29.9,25.2,32.3,12.6,100,34116,Nyagatare,0.449,0.447,0.201
  Nyagatare,52.8,19.2,20.8,7.2,100,82927,Nyagatare,0.28,0.431,0.121
  Rukomo,47.7,22.2,24.8,5.4,100,43649,Nyagatare,0.302,0.402,0.121
  Rwempasha,37.6,25.0,25.4,11.9,100,36543,Nyagatare,0.373,0.456,0.17
  Rwimiyaga,33.0,25.1,28.7,13.2,100,77017,Nyagatare,0.42,0.46,0.193
  Tabagwe,32.3,29.7,28.6,9.5,100,50359,Nyagatare,0.381,0.444,0.169
  Gasange,30.3,25.3,30.9,13.5,100,19365,Gatsibo,0.444,0.451,0.2
  Gatsibo,44.4,24.9,23.9,6.8,100,38071,Gatsibo,0.307,0.427,0.131
  Gitoki,38.7,24.3,28.3,8.6,100,43369,Gatsibo,0.37,0.425,0.157
  Kabarore,42.9,22.9,24.6,9.7,100,69312,Gatsibo,0.343,0.438,0.15
  Kageyo,31.2,26.4,32.0,10.5,100,25167,Gatsibo,0.425,0.435,0.184
  Kiramuruzi,37.2,27.2,26.7,8.9,100,40762,Gatsibo,0.357,0.442,0.158
  Kiziguro,45.6,23.1,24.0,7.3,100,39958,Gatsibo,0.313,0.43,0.135
  Muhura,36.9,22.9,29.6,10.6,100,33436,Gatsibo,0.401,0.436,0.175
  Murambi,34.5,28.0,29.5,8.0,100,36887,Gatsibo,0.375,0.424,0.159
  Ngarama,35.0,24.9,29.9,10.2,100,38843,Gatsibo,0.401,0.44,0.176
  Nyagihanga,32.8,24.6,33.8,8.7,100,30114,Gatsibo,0.426,0.421,0.179
  Remera,35.4,23.3,30.7,10.7,100,32297,Gatsibo,0.414,0.432,0.179
  Rugarama,37.7,26.1,27.9,8.3,100,49927,Gatsibo,0.362,0.431,0.156
  Rwimbogo,30.8,29.7,30.1,9.4,100,47136,Gatsibo,0.396,0.442,0.175
  Gahini,38.6,23.3,27.2,10.9,100,44585,Kayonza,0.381,0.438,0.167
  Kabare,33.1,25.4,31.6,9.8,100,40334,Kayonza,0.415,0.428,0.177
  Kabarondo,49.9,21.1,22.1,6.9,100,39019,Kayonza,0.29,0.427,0.124
  Mukarange,61.9,16.5,16.1,5.5,100,58656,Kayonza,0.216,0.424,0.091
  Murama,43.9,24.4,26.3,5.4,100,23624,Kayonza,0.317,0.406,0.129
  Murundi,29.2,25.7,32.5,12.6,100,56261,Kayonza,0.451,0.445,0.201
  Mwiri,38.9,23.2,28.0,9.8,100,35228,Kayonza,0.378,0.43,0.162
  Ndego,27.7,29.9,32.6,9.9,100,23848,Kayonza,0.425,0.441,0.187
  Nyamirama,44.2,22.1,25.6,8.1,100,38763,Kayonza,0.337,0.424,0.143
  Rukara,45.8,25.3,22.2,6.7,100,37323,Kayonza,0.289,0.427,0.123
  Ruramira,32.0,24.5,33.1,10.4,100,21972,Kayonza,0.435,0.428,0.186
  Rwinkwavu,38.4,25.2,27.7,8.7,100,36975,Kayonza,0.364,0.426,0.155
  Gahara,35.0,20.1,34.9,10.0,100,44137,Kirehe,0.449,0.415,0.186
  Gatore,42.6,23.1,26.2,8.2,100,31413,Kirehe,0.344,0.426,0.146
  Kigarama,34.7,24.3,32.6,8.4,100,37679,Kirehe,0.41,0.415,0.17
  Kigina,45.7,23.3,24.4,6.6,100,35632,Kirehe,0.31,0.425,0.132
  Kirehe,48.6,24.2,21.8,5.3,100,30473,Kirehe,0.271,0.42,0.114
  Mahama,64.1,12.1,20.6,3.2,100,75542,Kirehe,0.237,0.374,0.089
  Mpanga,33.9,25.4,32.0,8.6,100,39346,Kirehe,0.407,0.421,0.171
  Musaza,38.4,23.3,29.8,8.5,100,30401,Kirehe,0.383,0.417,0.159
  Mushikiri,40.4,25.4,27.7,6.5,100,32965,Kirehe,0.342,0.416,0.142
  Nasho,39.6,26.3,27.0,7.2,100,33588,Kirehe,0.342,0.417,0.143
  Nyamugari,35.7,24.5,30.4,9.4,100,42145,Kirehe,0.398,0.434,0.173
  Nyarubuye,37.5,24.5,30.0,8.0,100,22064,Kirehe,0.38,0.426,0.162
  Gashanda,39.8,23.1,29.1,8.0,100,20233,Ngoma,0.371,0.415,0.154
  Jarama,24.9,22.7,34.9,17.5,100,31001,Ngoma,0.524,0.463,0.242
  Karembo,40.5,23.1,26.8,9.5,100,17918,Ngoma,0.364,0.428,0.156
  Kazo,40.8,23.4,27.1,8.7,100,33073,Ngoma,0.358,0.431,0.155
  Kibungo,63.9,16.2,16.1,3.8,100,30989,Ngoma,0.199,0.401,0.08
  Mugesera,36.9,24.6,30.4,8.2,100,29814,Ngoma,0.385,0.429,0.165
  Murama,46.1,22.7,25.6,5.6,100,27846,Ngoma,0.312,0.41,0.128
  Mutenderi,42.3,23.9,26.7,7.0,100,25739,Ngoma,0.337,0.415,0.14
  Remera,48.1,20.0,24.4,7.5,100,33049,Ngoma,0.319,0.424,0.135
  Rukira,49.7,22.0,23.7,4.6,100,29946,Ngoma,0.283,0.401,0.114
  Rukumberi,27.1,21.4,31.5,20.0,100,39946,Ngoma,0.515,0.477,0.246
  Rurenge,37.4,25.9,29.4,7.3,100,33876,Ngoma,0.367,0.418,0.153
  Sake,33.9,22.1,30.1,13.9,100,28710,Ngoma,0.439,0.448,0.197
  Zaza,38.9,23.8,26.9,10.3,100,28074,Ngoma,0.372,0.437,0.162
  Gashora,51.5,21.5,20.2,6.8,100,33560,Bugesera,0.27,0.431,0.117
  Juru,31.2,27.6,30.3,10.9,100,34020,Bugesera,0.412,0.447,0.184
  Kamabuye,31.4,26.9,30.5,11.2,100,23660,Bugesera,0.417,0.452,0.188
  Mareba,29.9,21.7,32.9,15.4,100,28866,Bugesera,0.484,0.446,0.216
  Mayange,63.1,18.3,15.0,3.6,100,53266,Bugesera,0.186,0.407,0.076
  Musenyi,32.7,23.8,31.5,12.0,100,39886,Bugesera,0.435,0.441,0.192
  Mwogo,30.6,27.0,30.4,12.0,100,31373,Bugesera,0.424,0.455,0.193
  Ngeruka,28.5,23.0,33.4,15.1,100,35192,Bugesera,0.485,0.452,0.219
  Ntarama,54.2,17.9,18.2,9.7,100,50127,Bugesera,0.279,0.46,0.128
  Nyamata,67.9,15.7,12.5,3.9,100,85982,Bugesera,0.164,0.426,0.07
  Nyarugenge,32.0,24.0,31.0,13.0,100,25347,Bugesera,0.44,0.445,0.196
  Rilima,58.0,21.1,16.8,4.1,100,28818,Bugesera,0.209,0.414,0.087
  Ruhuha,44.2,21.4,24.8,9.5,100,28654,Bugesera,0.343,0.433,0.149
  Rweru,32.0,23.3,29.1,15.6,100,35800,Bugesera,0.447,0.464,0.207
  Shyara,25.6,23.9,34.1,16.4,100,16366,Bugesera,0.505,0.456,0.231
