sector,non_poor,vulnerable,moderately_poor,severely_poor,total,count,district,poor_percent,avg_deprivation_intensity,poverty_index
  Nyabimata,31.3,23.2,36.2,9.3,100,17166,Nyaruguru,0.455,0.41,0.187
  Nyagisozi,48.1,18.7,28.5,4.8,100,18554,Nyaruguru,0.333,0.391,0.13
  Ruheru,33.0,24.0,32.7,10.3,100,24408,Nyaruguru,0.43,0.422,0.181
  Ruramba,37.9,27.1,28.8,6.2,100,17294,Nyaruguru,0.35,0.412,0.144
  Rusenge,27.9,28.8,33.3,10.0,100,25099,Nyaruguru,0.433,0.432,0.187
  Gishamvu,40.8,22.9,29.3,7.1,100,14967,Huye,0.364,0.411,0.149
  Huye,48.8,22.0,22.0,7.2,100,29738,Huye,0.292,0.428,0.125
  Karama,38.5,30.3,26.1,5.2,100,17802,Huye,0.312,0.415,0.129
  Kigoma,42.1,26.0,27.0,4.9,100,26579,Huye,0.319,0.403,0.129
  Kinazi,38.5,23.3,28.9,9.2,100,34192,Huye,0.382,0.427,0.163
  Maraba,40.6,26.9,26.5,6.1,100,27614,Huye,0.325,0.415,0.135
  Mbazi,47.5,23.3,23.4,5.8,100,37487,Huye,0.292,0.416,0.122
  Mukura,46.0,18.2,26.6,9.2,100,27958,Huye,0.358,0.431,0.154
  Ngoma,79.4,10.5,8.3,1.8,100,22160,Huye,0.101,0.401,0.04
  Ruhashya,35.2,25.7,31.0,8.1,100,25967,Huye,0.391,0.422,0.165
  Rusatira,38.0,22.8,28.8,10.5,100,31725,Huye,0.392,0.434,0.17
  Rwaniro,27.5,30.5,33.8,8.2,100,24136,Huye,0.42,0.425,0.179
  Simbi,38.9,27.3,28.0,5.9,100,24196,Huye,0.338,0.413,0.14
  Tumba,68.8,13.9,12.5,4.8,100,39494,Huye,0.173,0.429,0.074
  Buruhukiro,23.1,29.0,35.4,12.6,100,27259,Nyamagabe,0.48,0.445,0.213
  Cyanika,40.6,27.7,27.3,4.5,100,27403,Nyamagabe,0.317,0.41,0.13
  Gasaka,60.5,20.5,16.4,2.6,100,36379,Nyamagabe,0.19,0.407,0.077
  Gatare,24.0,28.8,36.1,11.1,100,17838,Nyamagabe,0.472,0.435,0.205
  Kaduha,27.0,26.9,34.8,11.3,100,23844,Nyamagabe,0.462,0.44,0.203
  Kamegeri,28.4,32.1,31.7,7.9,100,14967,Nyamagabe,0.395,0.426,0.168
  Kibirizi,34.2,33.5,27.8,4.6,100,22044,Nyamagabe,0.323,0.417,0.135
  Kibumbwe,27.0,32.3,30.9,9.8,100,14131,Nyamagabe,0.407,0.435,0.177
  Kitabi,27.7,28.8,33.9,9.6,100,26391,Nyamagabe,0.435,0.432,0.188
  Mbazi,47.7,23.5,25.4,3.5,100,13131,Nyamagabe,0.288,0.39,0.112
  Mugano,24.4,28.6,35.8,11.2,100,20993,Nyamagabe,0.47,0.433,0.204
  Musange,42.1,26.9,26.0,4.9,100,21261,Nyamagabe,0.31,0.404,0.125
  Musebeya,25.4,30.7,33.7,10.1,100,20453,Nyamagabe,0.439,0.437,0.192
  Mushubi,29.7,27.6,35.4,7.4,100,14279,Nyamagabe,0.428,0.421,0.18
  Nkomane,17.1,30.0,39.7,13.1,100,18174,Nyamagabe,0.528,0.449,0.237
  Tare,33.1,29.5,29.2,8.2,100,24364,Nyamagabe,0.375,0.432,0.162
