Dist_ID,District,Name,Prov_ID,Province,Sect_ID,NO2_max,NO2_mean,NO2_min,year,month,date,CO_mean,CO_min,CO_max,SO2_mean,SO2_min,SO2_max,O3_mean,O3_min,O3_max
11,Nyarugenge,Gitega,1,Kigali City,1101,4.639927779754782e-05,4.4972435934143935e-05,4.4307376357162857e-05,2023,1,2023-01,0.03322480810809394,0.03277237175133236,0.03338269392496787,-3.0703687690374536e-05,-0.00010798358371663956,-4.980955679765388e-06,0.11840432495763602,0.1183229824947684,0.11845611933034689
11,Nyarugenge,Kanyinya,1,Kigali City,1102,4.665871631050742e-05,4.2681652951438286e-05,3.527160793604562e-05,2023,1,2023-01,0.03240846785706103,0.030105515926530258,0.033548671648887154,-0.0001564420370641434,-0.00030485438037430494,9.849721184685464e-05,0.11796224106281471,0.11776836742708315,0.11835039888699746
11,Nyarugenge,Kigali,1,Kigali City,1103,4.714681866543926e-05,4.352332175752549e-05,3.705567902815566e-05,2023,1,2023-01,0.03316472511388011,0.03242109840632936,0.03376852321096898,3.84683059835989e-05,-0.0002460404141854966,0.0002276592605890491,0.11831854095718865,0.11793932102919988,0.11855771125786149
11,Nyarugenge,Kimisagara,1,Kigali City,1104,4.714681866543926e-05,4.584440782130811e-05,4.463441838267116e-05,2023,1,2023-01,0.03331317052556597,0.03298058879158992,0.03359596111512241,-5.9309497111579925e-05,-0.00019839708947733955,-1.4313918737296567e-05,0.11847378251140045,0.1181838137914366,0.11855771125786149
11,Nyarugenge,Mageregere,1,Kigali City,1105,3.9891594228542106e-05,3.6639768465236174e-05,3.380669173672493e-05,2023,1,2023-01,0.033467855654642234,0.032776938842244724,0.03409834287368671,2.6901301652470854e-05,-0.00018277323120017587,0.00017800277227568318,0.11817139945695358,0.11793932102919988,0.11848754409740841
11,Nyarugenge,Muhima,1,Kigali City,1106,4.639927779754782e-05,4.474949235205861e-05,4.34113332510178e-05,2023,1,2023-01,0.03302495939317711,0.03274572701585842,0.0332953171719855,-5.874134416216342e-05,-0.00019839708947733955,5.735149824882453e-05,0.11826447549061031,0.1181838137914366,0.11839608887022779
11,Nyarugenge,Nyakabanda,1,Kigali City,1107,4.64496347441115e-05,4.560760422415764e-05,4.426472563582468e-05,2023,1,2023-01,0.032945428092343944,0.0325170710147938,0.03320937542623878,-7.598889640457674e-06,-2.810816905488364e-05,2.5161129195429862e-05,0.11849481286405933,0.11839948360229217,0.11855771125786149
11,Nyarugenge,Nyamirambo,1,Kigali City,1108,4.4808334613802976e-05,4.0901926833887165e-05,3.684556810761654e-05,2023,1,2023-01,0.03268453264493277,0.032402485226003905,0.03316406334868922,4.165789351601423e-05,1.008567027669238e-05,7.576691478153762e-05,0.11830928865868287,0.11814308803687529,0.11846362609005771
11,Nyarugenge,Nyarugenge,1,Kigali City,1109,4.532057023538032e-05,4.4390173797017576e-05,4.275243787286625e-05,2023,1,2023-01,0.03291829180727826,0.03244775510531724,0.03338269392496787,7.5044885751328246e-06,-5.534317477418406e-05,6.171195799317525e-05,0.11832552594974513,0.11823369472379039,0.11845611933034689
11,Nyarugenge,Rwezamenyo,1,Kigali City,1110,4.605011958842928e-05,4.4353283394095856e-05,4.204258191700477e-05,2023,1,2023-01,0.032834614217926564,0.032405560899722345,0.03316037924729518,8.107927079678097e-06,-1.4313918737296567e-05,2.920024542815305e-05,0.11841540313442929,0.11829787328773404,0.11849641680463799
12,Gasabo,Bumbogo,1,Kigali City,1201,4.207561473290113e-05,3.88690697019299e-05,3.2551071703358997e-05,2023,1,2023-01,0.03149205666447457,0.03031297970886774,0.033015324352635565,-7.605547479961559e-05,-0.00024577972088369985,0.00012892745813812052,0.11820699857443077,0.11795998150359625,0.11843185062149202
12,Gasabo,Gatsata,1,Kigali City,1202,4.665871631050742e-05,4.437668881099861e-05,4.2261983186909526e-05,2023,1,2023-01,0.03275362985752962,0.0324949276075917,0.033301648302704774,-0.00013335792225646856,-0.00021777601346797224,-8.480397831139375e-05,0.11809682114798783,0.11796511301738892,0.11839608887022779
12,Gasabo,Gikomero,1,Kigali City,1203,3.9529276548221545e-05,3.812304235362821e-05,3.683988168762096e-05,2023,1,2023-01,0.032050990459188265,0.03095779644904804,0.033027411177492694,1.3439510671191934e-05,-0.0001529619476769635,0.00018667439271797675,0.11836356273814326,0.11813397083895609,0.11851632930008263
12,Gasabo,Gisozi,1,Kigali City,1204,4.475004027084879e-05,4.329196280926444e-05,4.2261983186909526e-05,2023,1,2023-01,0.032749115114901396,0.032485363472228704,0.032961040337716366,-0.00010257564745026083,-0.00015120326274182294,6.0891395931126864e-05,0.11817145766184455,0.11809854020899205,0.11828133383939439
12,Gasabo,Jabana,1,Kigali City,1205,4.402470005072434e-05,3.680211765029614e-05,3.281195737405846e-05,2023,1,2023-01,0.03045119174273037,0.029971352604184726,0.03266255138757329,-3.8180627580008384e-05,-0.00014927047370324702,8.928673083396683e-05,0.11801258769888885,0.11768980988828047,0.11840760561337013
12,Gasabo,Jali,1,Kigali City,1206,4.5064136826409965e-05,3.949929193031947e-05,3.298646387349418e-05,2023,1,2023-01,0.0309173772014994,0.029978406291629716,0.03322952910251569,-1.0531074840645382e-05,-0.00021777601346797224,0.00010929553109059585,0.11784684521683786,0.11761258601142652,0.11815788738538155
12,Gasabo,Kacyiru,1,Kigali City,1207,4.504452189635664e-05,4.4518121879968963e-05,4.242538039806233e-05,2023,1,2023-01,0.03281900619804656,0.03247452296329255,0.03310149386684012,6.21605991162006e-05,-0.0001259609715334776,0.00016107647879628025,0.1181793385702444,0.11804136290926033,0.1182396961830634
