sector,non_poor,vulnerable,moderately_poor,severely_poor,total,count,district
  Kitabi,27.7,28.8,33.9,9.6,100,26391,Nyamagabe
  Mbazi,47.7,23.5,25.4,3.5,100,13131,Nyamagabe
  Mugano,24.4,28.6,35.8,11.2,100,20993,Nyamagabe
  Musange,42.1,26.9,26,4.9,100,21261,Nyamagabe
  Musebeya,25.4,30.7,33.7,10.1,100,20453,Nyamagabe
  Mushubi,29.7,27.6,35.4,7.4,100,14279,Nyamagabe
  Nkomane,17.1,30,39.7,13.1,100,18174,Nyamagabe
  Tare,33.1,29.5,29.2,8.2,100,24364,Nyamagabe
  Uwinkingi,27.5,30.7,33.7,8.1,100,25171,Nyamagabe
  Bweramana,41.2,25.7,25.7,7.4,100,33764,Ruhango
  Byimana,51.8,23.9,20.2,4.2,100,42413,Ruhango
  Kabagali,34.1,27.9,30.5,7.5,100,27203,Ruhango
  Kinazi,31.7,23.8,31.2,13.4,100,52274,Ruhango
  Kinihira,32.7,31.4,28.4,7.5,100,27966,Ruhango
  Mbuye,31.6,25,31,12.4,100,47148,Ruhango
  Mwendo,40.8,27.1,27.5,4.6,100,26967,Ruhango
  Ntongwe,28.8,25.6,33,12.6,100,38339,Ruhango
  Ruhango,47.6,22.8,23,6.7,100,81828,Ruhango
  Cyeza,51.3,23.5,22.3,2.9,100,35812,Muhanga
  Kabacuzi,43.3,26.8,26.6,3.4,100,30553,Muhanga
  Kibangu,41,26.1,28.5,4.4,100,21089,Muhanga
  Kiyumba,42.9,30.5,24.3,2.3,100,26827,Muhanga
  Muhanga,49.2,25,22.9,2.9,100,29642,Muhanga
  Mushishiro,45.1,26,25.5,3.4,100,21852,Muhanga
  Nyabinoni,25.7,32,35.6,6.7,100,17322,Muhanga
  Nyamabuye,79.2,11.3,7.9,1.6,100,65673,Muhanga
  Nyarusange,37.1,28.4,28.3,6.2,100,28838,Muhanga
  Rongi,30.5,31.1,32.5,6,100,32037,Muhanga
  Rugendabari,39.4,28,29.5,3.1,100,19081,Muhanga
  Shyogwe,61.4,17.2,17.2,4.2,100,44109,Muhanga
  Gacurabwenge,56.9,22,17.8,3.4,100,38135,Kamonyi
  Karama,50.3,25.5,21.6,2.7,100,21261,Kamonyi
  Kayenzi,49.6,25.1,22.3,3,100,26339,Kamonyi
  Kayumbu,46.1,25.9,24.9,3.1,100,18290,Kamonyi
  Mugina,33.5,27.4,30.2,9,100,47020,Kamonyi
  Musambira,46.1,27.6,22,4.3,100,43589,Kamonyi
  Ngamba,41.4,29.2,25.9,3.4,100,17158,Kamonyi
  Nyamiyaga,34.8,29.2,28.2,7.8,100,46360,Kamonyi
  Nyarubaka,42.1,27.1,26.3,4.6,100,29438,Kamonyi
  Rugarika,51.6,22.3,20.6,5.4,100,62366,Kamonyi
  Rukoma,48.7,25.7,21.9,3.8,100,40850,Kamonyi
  Runda,69.4,15.2,11.9,3.5,100,74546,Kamonyi
  Bwishyura,51.6,21.6,20.4,6.4,100,41162,Karongi
  Gashari,36.5,32.1,27.3,4,100,20985,Karongi
  Gishyita,45.3,24.6,25.8,4.3,100,23716,Karongi
  Gitesi,29.6,31.1,31.4,7.9,100,27199,Karongi
  Mubuga,38.1,24.7,30.4,6.9,100,23284,Karongi
  Murambi,33.4,33.5,27.6,5.5,100,23012,Karongi
  Murundi,20.9,34.4,34.7,10,100,28174,Karongi
  Mutuntu,21.3,39.2,31.3,8.2,100,24032,Karongi
  Rubengera,50.6,23.6,21.1,4.7,100,41382,Karongi
  Rugabano,33.5,27.8,31.9,6.8,100,33129,Karongi
  Ruganda,28.6,39,28.7,3.7,100,18821,Karongi
  Rwankuba,39.9,23.5,29.9,6.7,100,33584,Karongi
  Twumba,31.1,32.5,30.2,6.2,100,27171,Karongi
  Boneza,40.8,32.3,22.6,4.3,100,23492,Rutsiro
  Gihango,42.1,30.5,23.5,3.9,100,26723,Rutsiro
  Kigeyo,34.5,26.1,32.2,7.1,100,23356,Rutsiro
  Kivumu,38.5,21.2,31.4,8.9,100,32601,Rutsiro
  Manihira,26.4,33.5,31.9,8.2,100,18806,Rutsiro
  Mukura,21.1,32.9,34,12.1,100,36563,Rutsiro
  Murunda,28.3,29.9,27.4,14.4,100,21884,Rutsiro
  Musasa,35.8,29,29.5,5.8,100,25523,Rutsiro
  Mushonyi,37.8,27.3,29.9,5,100,23696,Rutsiro
  Mushubati,38.2,28.4,27,6.4,100,30485,Rutsiro
  Nyabirasi,23.9,22.8,35.2,18.2,100,29698,Rutsiro
  Ruhango,28.4,31.4,29.8,10.4,100,28330,Rutsiro
  Rusebeya,16.3,32.1,36.5,15,100,25931,Rutsiro
  Bugeshi,33.6,24,31,11.4,100,31401,Rubavu
  Busasamana,27.5,19.5,35.2,17.8,100,36619,Rubavu
  Cyanzarwe,29.4,18,34.5,18.2,100,34008,Rubavu
  Gisenyi,88.9,7.5,2.9,0.7,100,52898,Rubavu
  Kanama,37.2,17.8,27.6,17.4,100,33972,Rubavu
  Kanzenze,43.1,20.8,24.5,11.5,100,21189,Rubavu
  Mudende,27.8,24,34.3,13.8,100,29830,Rubavu
  Nyakiriba,56.9,16,18.1,9,100,38087,Rubavu
  Nyamyumba,45.6,18.2,25.1,11,100,43553,Rubavu
