Dist_ID,District,Name,Prov_ID,Province,Sect_ID,mean,date
24,Huye,Kigoma,2,Southern Province,2404,3.916201899708827e-05,2023-01
24,Huye,Kinazi,2,Southern Province,2405,3.909102527155378e-05,2023-01
24,Huye,Maraba,2,Southern Province,2406,4.088300126746832e-05,2023-01
24,Huye,Mbazi,2,Southern Province,2407,4.0091081673693056e-05,2023-01
24,Huye,Mukura,2,Southern Province,2408,3.9942949597460524e-05,2023-01
24,Huye,Ngoma,2,Southern Province,2409,4.136461126775296e-05,2023-01
24,Huye,Ruhashya,2,Southern Province,2410,3.8272975914958324e-05,2023-01
24,Huye,Rusatira,2,Southern Province,2411,3.803729480370121e-05,2023-01
24,Huye,Rwaniro,2,Southern Province,2412,4.081400446339848e-05,2023-01
24,Huye,Simbi,2,Southern Province,2413,3.7588421723811566e-05,2023-01
24,Huye,Tumba,2,Southern Province,2414,4.04675380786412e-05,2023-01
25,Nyamagabe,Buruhukiro,2,Southern Province,2501,3.544037379257922e-05,2023-01
25,Nyamagabe,Cyanika,2,Southern Province,2502,3.9060979048947615e-05,2023-01
25,Nyamagabe,Gasaka,2,Southern Province,2503,3.653661714611366e-05,2023-01
25,Nyamagabe,Gatare,2,Southern Province,2504,3.654257020511592e-05,2023-01
25,Nyamagabe,Kaduha,2,Southern Province,2505,3.980702703790521e-05,2023-01
25,Nyamagabe,Kamegeri,2,Southern Province,2506,3.744739450152834e-05,2023-01
25,Nyamagabe,Kibirizi,2,Southern Province,2507,3.748782640354462e-05,2023-01
25,Nyamagabe,Kibumbwe,2,Southern Province,2508,4.0352570537036326e-05,2023-01
25,Nyamagabe,Kitabi,2,Southern Province,2509,3.5900299270765245e-05,2023-01
25,Nyamagabe,Mbazi,2,Southern Province,2510,3.9935146918251256e-05,2023-01
25,Nyamagabe,Mugano,2,Southern Province,2511,3.8270554631094034e-05,2023-01
25,Nyamagabe,Musange,2,Southern Province,2512,3.826011849327585e-05,2023-01
25,Nyamagabe,Musebeya,2,Southern Province,2513,3.854618688601191e-05,2023-01
25,Nyamagabe,Mushubi,2,Southern Province,2514,3.812362567035492e-05,2023-01
25,Nyamagabe,Nkomane,2,Southern Province,2515,3.945872339957766e-05,2023-01
25,Nyamagabe,Tare,2,Southern Province,2516,3.7299507904308316e-05,2023-01
25,Nyamagabe,Uwinkingi,2,Southern Province,2517,3.39584902918123e-05,2023-01
26,Ruhango,Bweramana,2,Southern Province,2601,3.743479715421738e-05,2023-01
26,Ruhango,Byimana,2,Southern Province,2602,3.657080546055511e-05,2023-01
26,Ruhango,Kabagali,2,Southern Province,2603,3.778144409961793e-05,2023-01
26,Ruhango,Kinazi,2,Southern Province,2604,3.967376504387887e-05,2023-01
26,Ruhango,Kinihira,2,Southern Province,2605,3.465976743834178e-05,2023-01
26,Ruhango,Mbuye,2,Southern Province,2606,3.596177896291344e-05,2023-01
26,Ruhango,Mwendo,2,Southern Province,2607,3.546556228943609e-05,2023-01
26,Ruhango,Ntongwe,2,Southern Province,2608,3.8602529651106184e-05,2023-01
26,Ruhango,Ruhango,2,Southern Province,2609,3.837532412497847e-05,2023-01
27,Muhanga,Cyeza,2,Southern Province,2701,3.735772505462481e-05,2023-01
27,Muhanga,Kabacuzi,2,Southern Province,2702,3.5598854681612423e-05,2023-01
27,Muhanga,Kibangu,2,Southern Province,2703,3.408635530463563e-05,2023-01
27,Muhanga,Kiyumba,2,Southern Province,2704,3.7879179913625896e-05,2023-01
27,Muhanga,Muhanga,2,Southern Province,2705,3.766686635209379e-05,2023-01
27,Muhanga,Mushishiro,2,Southern Province,2706,3.779163298438203e-05,2023-01
27,Muhanga,Nyabinoni,2,Southern Province,2707,3.452897296421605e-05,2023-01
27,Muhanga,Nyamabuye,2,Southern Province,2708,3.5570726873950075e-05,2023-01
27,Muhanga,Nyarusange,2,Southern Province,2709,3.604394643005668e-05,2023-01
27,Muhanga,Rongi,2,Southern Province,2710,3.56428358311478e-05,2023-01
27,Muhanga,Rugendabari,2,Southern Province,2711,3.5268801624574665e-05,2023-01
27,Muhanga,Shyogwe,2,Southern Province,2712,3.624903005035368e-05,2023-01
28,Kamonyi,Gacurabwenge,2,Southern Province,2801,4.0854880940568206e-05,2023-01
28,Kamonyi,Karama,2,Southern Province,2802,3.89201135097984e-05,2023-01
28,Kamonyi,Kayenzi,2,Southern Province,2803,3.65040116232568e-05,2023-01
28,Kamonyi,Kayumbu,2,Southern Province,2804,3.852906562299124e-05,2023-01
28,Kamonyi,Mugina,2,Southern Province,2805,4.0461941386347914e-05,2023-01
28,Kamonyi,Musambira,2,Southern Province,2806,4.0018244865791735e-05,2023-01
28,Kamonyi,Ngamba,2,Southern Province,2807,3.6247044247200854e-05,2023-01
28,Kamonyi,Nyamiyaga,2,Southern Province,2808,4.0342665631961334e-05,2023-01
28,Kamonyi,Nyarubaka,2,Southern Province,2809,3.5489361239008526e-05,2023-01
28,Kamonyi,Rugarika,2,Southern Province,2810,4.017357366797208e-05,2023-01
28,Kamonyi,Rukoma,2,Southern Province,2811,3.912140826683013e-05,2023-01
28,Kamonyi,Runda,2,Southern Province,2812,4.081861824805941e-05,2023-01
31,Karongi,Bwishyura,3,Western Province,3101,3.823514536276155e-05,2023-01
31,Karongi,Gashari,3,Western Province,3102,3.481750565285292e-05,2023-01
31,Karongi,Gishyita,3,Western Province,3103,3.761618899564007e-05,2023-01
31,Karongi,Gitesi,3,Western Province,3104,3.580384321376068e-05,2023-01
31,Karongi,Mubuga,3,Western Province,3105,3.8372695887421944e-05,2023-01
31,Karongi,Murambi,3,Western Province,3106,3.489820046765481e-05,2023-01
31,Karongi,Murundi,3,Western Province,3107,3.641819731208739e-05,2023-01
31,Karongi,Mutuntu,3,Western Province,3108,3.72526638629134e-05,2023-01
31,Karongi,Rubengera,3,Western Province,3109,3.726038670085533e-05,2023-01
31,Karongi,Rugabano,3,Western Province,3110,3.4576984173068815e-05,2023-01
31,Karongi,Ruganda,3,Western Province,3111,3.522591204151284e-05,2023-01
31,Karongi,Rwankuba,3,Western Province,3112,3.604807699075602e-05,2023-01
31,Karongi,Twumba,3,Western Province,3113,3.729928053987923e-05,2023-01
32,Rutsiro,Boneza,3,Western Province,3201,3.4929749930515606e-05,2023-01
32,Rutsiro,Gihango,3,Western Province,3202,3.4726912391243984e-05,2023-01
32,Rutsiro,Kigeyo,3,Western Province,3203,3.5364702307984726e-05,2023-01
32,Rutsiro,Kivumu,3,Western Province,3204,3.680001170991551e-05,2023-01
32,Rutsiro,Manihira,3,Western Province,3205,3.602768044078616e-05,2023-01
32,Rutsiro,Mukura,3,Western Province,3206,3.6992651238202695e-05,2023-01
32,Rutsiro,Murunda,3,Western Province,3207,3.518672337255534e-05,2023-01
32,Rutsiro,Musasa,3,Western Province,3208,3.468307424060702e-05,2023-01
32,Rutsiro,Mushonyi,3,Western Province,3209,3.307137534117918e-05,2023-01
32,Rutsiro,Mushubati,3,Western Province,3210,3.699324033293713e-05,2023-01
32,Rutsiro,Nyabirasi,3,Western Province,3211,3.56699562487787e-05,2023-01
32,Rutsiro,Ruhango,3,Western Province,3212,3.444250120952666e-05,2023-01
32,Rutsiro,Rusebeya,3,Western Province,3213,3.732127046417441e-05,2023-01
33,Rubavu,Bugeshi,3,Western Province,3301,3.177696366430311e-05,2023-01
33,Rubavu,Busasamana,3,Western Province,3302,3.197245714325747e-05,2023-01
33,Rubavu,Cyanzarwe,3,Western Province,3303,3.1611156817084674e-05,2023-01
33,Rubavu,Gisenyi,3,Western Province,3304,3.628007286978239e-05,2023-01
33,Rubavu,Kanama,3,Western Province,3305,3.5897197823115824e-05,2023-01
33,Rubavu,Kanzenze,3,Western Province,3306,3.550000490004697e-05,2023-01
33,Rubavu,Mudende,3,Western Province,3307,3.174459282939127e-05,2023-01
33,Rubavu,Nyakiriba,3,Western Province,3308,3.59292292456978e-05,2023-01
33,Rubavu,Nyamyumba,3,Western Province,3309,3.6768055369679684e-05,2023-01
33,Rubavu,Nyundo,3,Western Province,3310,3.704360589192005e-05,2023-01
33,Rubavu,Rubavu,3,Western Province,3311,3.332438480307157e-05,2023-01
33,Rubavu,Rugerero,3,Western Province,3312,3.690270405827257e-05,2023-01
34,Nyabihu,Bigogwe,3,Western Province,3401,3.516237037985705e-05,2023-01
34,Nyabihu,Jenda,3,Western Province,3402,3.322097405634971e-05,2023-01
34,Nyabihu,Jomba,3,Western Province,3403,3.650985869454694e-05,2023-01
34,Nyabihu,Kabatwa,3,Western Province,3404,3.0999655617414036e-05,2023-01
34,Nyabihu,Karago,3,Western Province,3405,3.4622809492703644e-05,2023-01
34,Nyabihu,Kintobo,3,Western Province,3406,3.407177345807639e-05,2023-01
34,Nyabihu,Mukamira,3,Western Province,3407,3.467361938158066e-05,2023-01
34,Nyabihu,Muringa,3,Western Province,3408,3.3675963294934866e-05,2023-01
34,Nyabihu,Rambura,3,Western Province,3409,3.38705299144303e-05,2023-01
34,Nyabihu,Rugera,3,Western Province,3410,3.634202273979292e-05,2023-01
34,Nyabihu,Rurembo,3,Western Province,3411,3.3105341675532765e-05,2023-01
34,Nyabihu,Shyira,3,Western Province,3412,3.439608866297218e-05,2023-01
35,Ngororero,Bwira,3,Western Province,3501,3.7823093640736265e-05,2023-01
35,Ngororero,Gatumba,3,Western Province,3502,3.6369281074796844e-05,2023-01
35,Ngororero,Hindiro,3,Western Province,3503,3.615815154854078e-05,2023-01
35,Ngororero,Kabaya,3,Western Province,3504,3.6770530207276774e-05,2023-01
35,Ngororero,Kageyo,3,Iburengerazuba,3505,3.838381527432476e-05,2023-01
35,Ngororero,Kavumu,3,Western Province,3506,3.810303279540564e-05,2023-01
35,Ngororero,Matyazo,3,Western Province,3507,3.7150252532312914e-05,2023-01
35,Ngororero,Muhanda,3,Western Province,3508,3.482486655459086e-05,2023-01
35,Ngororero,Muhororo,3,Western Province,3509,3.630530475038357e-05,2023-01
35,Ngororero,Ndaro,3,Western Province,3510,3.6987717887459145e-05,2023-01
35,Ngororero,Ngororero,3,Iburengerazuba,3511,3.5816785168238644e-05,2023-01
35,Ngororero,Nyange,3,Western Province,3512,3.6918070004509034e-05,2023-01
35,Ngororero,Sovu,3,Western Province,3513,3.736288401081985e-05,2023-01
36,Rusizi,Bugarama,3,Western Province,3601,3.5790123258069686e-05,2023-01
36,Rusizi,Butare,3,Western Province,3602,3.606796728101924e-05,2023-01
36,Rusizi,Bweyeye,3,Western Province,3603,3.5698493472596576e-05,2023-01
36,Rusizi,Gashonga,3,Western Province,3604,3.621982560049642e-05,2023-01
36,Rusizi,Giheke,3,Western Province,3605,3.877092737938811e-05,2023-01
36,Rusizi,Gihundwe,3,Western Province,3606,3.959407020396926e-05,2023-01
36,Rusizi,Gikundamvura,3,Western Province,3607,3.5938183752785e-05,2023-01
36,Rusizi,Gitambi,3,Western Province,3608,3.404409857713245e-05,2023-01
36,Rusizi,Kamembe,3,Western Province,3609,3.906657677289187e-05,2023-01
36,Rusizi,Muganza,3,Western Province,3610,3.61939108731608e-05,2023-01
36,Rusizi,Mururu,3,Western Province,3611,3.7981183260095705e-05,2023-01
36,Rusizi,Nkanka,3,Western Province,3612,4.0152143480262866e-05,2023-01
36,Rusizi,Nkombo,3,Western Province,3613,4.006049450156136e-05,2023-01
36,Rusizi,Nkungu,3,Western Province,3614,3.799642223527413e-05,2023-01
36,Rusizi,Nyakabuye,3,Western Province,3615,3.586200421753056e-05,2023-01
36,Rusizi,Nyakarenzo,3,Western Province,3616,3.714853099622943e-05,2023-01
36,Rusizi,Nzahaha,3,Western Province,3617,3.508620456601136e-05,2023-01
36,Rusizi,Rwimbogo,3,Western Province,3618,3.4746887556006774e-05,2023-01
37,Nyamasheke,Bushekeri,3,Western Province,3701,4.0603651482617965e-05,2023-01
37,Nyamasheke,Bushenge,3,Western Province,3702,3.964694128800791e-05,2023-01
37,Nyamasheke,Cyato,3,Western Province,3703,3.755286040100193e-05,2023-01
37,Nyamasheke,Gihombo,3,Western Province,3704,3.704689868768382e-05,2023-01
37,Nyamasheke,Kagano,3,Western Province,3705,4.125029374544661e-05,2023-01
37,Nyamasheke,Kanjongo,3,Western Province,3706,3.875408070373859e-05,2023-01
37,Nyamasheke,Karambi,3,Western Province,3707,3.838135379508062e-05,2023-01
37,Nyamasheke,Karengera,3,Western Province,3708,3.843215862493837e-05,2023-01
37,Nyamasheke,Kirimbi,3,Western Province,3709,3.6762374479871704e-05,2023-01
37,Nyamasheke,Macuba,3,Western Province,3710,3.7637484392242983e-05,2023-01
37,Nyamasheke,Mahembe,3,Western Province,3711,3.630914008272438e-05,2023-01
37,Nyamasheke,Nyabitekeri,3,Western Province,3712,3.9646968915806176e-05,2023-01
37,Nyamasheke,Rangiro,3,Western Province,3713,3.7793071955580256e-05,2023-01
37,Nyamasheke,Ruharambuga,3,Western Province,3714,4.0476798874058157e-05,2023-01
37,Nyamasheke,Shangi,3,Western Province,3715,4.1730717501148436e-05,2023-01
41,Rulindo,Base,4,Northern Province,4101,3.545960528021995e-05,2023-01
41,Rulindo,Burega,4,Northern Province,4102,3.770001341904413e-05,2023-01
41,Rulindo,Bushoki,4,Northern Province,4103,3.422808208079144e-05,2023-01
41,Rulindo,Buyoga,4,Northern Province,4104,3.615411219395712e-05,2023-01
41,Rulindo,Cyinzuzi,4,Northern Province,4105,3.979551027178846e-05,2023-01
41,Rulindo,Cyungo,4,Northern Province,4106,3.7884780661823846e-05,2023-01
41,Rulindo,Kinihira,4,Northern Province,4107,3.3658474814369546e-05,2023-01
41,Rulindo,Kisaro,4,Northern Province,4108,3.723251336684367e-05,2023-01
41,Rulindo,Masoro,4,Northern Province,4109,3.8382511213953554e-05,2023-01
41,Rulindo,Mbogo,4,Northern Province,4110,3.554396332060272e-05,2023-01
41,Rulindo,Murambi,4,Northern Province,4111,3.773011263775199e-05,2023-01
41,Rulindo,Ngoma,4,Northern Province,4112,3.7233353820349776e-05,2023-01
41,Rulindo,Ntarabana,4,Northern Province,4113,3.7028718942891804e-05,2023-01
41,Rulindo,Rukozo,4,Northern Province,4114,3.5910560645468805e-05,2023-01
41,Rulindo,Rusiga,4,Northern Province,4115,3.4539342837050445e-05,2023-01
41,Rulindo,Shyrongi,4,Northern Province,4116,3.5687921367637004e-05,2023-01
41,Rulindo,Tumba,4,Northern Province,4117,3.361179666613599e-05,2023-01
42,Gakenke,Busengo,4,Northern Province,4201,3.66225142029521e-05,2023-01
42,Gakenke,Coko,4,Northern Province,4202,3.708682368078798e-05,2023-01
42,Gakenke,Cyabingo,4,Northern Province,4203,3.4877388223001535e-05,2023-01
42,Gakenke,Gakenke,4,Northern Province,4204,3.6408044805608985e-05,2023-01
42,Gakenke,Gashenyi,4,Northern Province,4205,3.636396129924137e-05,2023-01
42,Gakenke,Janja,4,Northern Province,4206,3.410792635411318e-05,2023-01
42,Gakenke,Kamubuga,4,Northern Province,4207,3.4833826587294566e-05,2023-01
