Prov_ID,Province,Dist_ID,District,Sect_ID,Name,join_key,sector,non_poor,vulnerable,moderately_poor,severely_poor,total,count,district,poverty_rate,poverty_index,affluence_index,poor_population,severely_poor_population,non_poor_population
2.0,Southern Province,23.0,Nyaruguru,2302.0,Cyahinda,cyahinda,Cyahinda,39.8,25.7,28.1,6.5,100,21972,Nyaruguru,34.6,20.15,35.1,7602.312000000001,1428.18,8744.856
2.0,Southern Province,23.0,Nyaruguru,2303.0,Kibeho,kibeho,Kibeho,46.4,23.3,23.8,6.5,100,25307,Nyaruguru,30.3,19.04,38.699999999999996,7668.021,1644.955,11742.448
2.0,Southern Province,23.0,Nyaruguru,2304.0,Kivu,kivu,Kivu,37.1,24.6,31.0,7.3,100,17606,Nyaruguru,38.3,20.85,32.93333333333334,6743.097999999999,1285.238,6531.826
2.0,Southern Province,23.0,Nyaruguru,2305.0,Mata,mata,Mata,43.4,28.1,23.3,5.2,100,15687,Nyaruguru,28.5,19.03,38.300000000000004,4470.795,815.724,6808.157999999999
2.0,Southern Province,23.0,Nyaruguru,2306.0,Muganza,muganza,Muganza,29.8,21.4,34.8,14.0,100,36715,Gisagara,48.8,23.3,27.0,17916.92,5140.1,10941.07
2.0,Southern Province,23.0,Nyaruguru,2306.0,Muganza,muganza,Muganza,35.9,23.4,33.3,7.4,100,19277,Nyaruguru,40.699999999999996,21.220000000000002,31.73333333333333,7845.738999999999,1426.4980000000003,6920.442999999999
2.0,Southern Province,23.0,Nyaruguru,2306.0,Muganza,muganza,Muganza,48.4,18.3,25.4,8.0,100,29446,Rusizi,33.4,19.32,38.36666666666667,9834.964,2355.68,14251.864
2.0,Southern Province,23.0,Nyaruguru,2307.0,Munini,munini,Munini,37.5,29.2,27.5,5.8,100,17990,Nyaruguru,33.3,20.16,34.733333333333334,5990.67,1043.42,6746.25
2.0,Southern Province,23.0,Nyaruguru,2308.0,Ngera,ngera,Ngera,35.9,23.0,33.0,8.1,100,24004,Nyaruguru,41.1,21.330000000000002,31.599999999999998,9865.644,1944.3239999999998,8617.436
2.0,Southern Province,23.0,Nyaruguru,2309.0,Ngoma,ngoma,Ngoma,44.2,19.3,30.5,6.0,100,23800,Nyaruguru,36.5,19.830000000000002,35.9,8687.0,1428.0,10519.6
2.0,Southern Province,23.0,Nyaruguru,2309.0,Ngoma,ngoma,Ngoma,79.4,10.5,8.3,1.8,100,22160,Huye,10.100000000000001,13.25,56.43333333333334,2238.1600000000003,398.88,17595.04
2.0,Southern Province,23.0,Nyaruguru,2309.0,Ngoma,ngoma,Ngoma,42.9,29.6,24.3,3.2,100,12980,Rulindo,27.5,18.78,38.46666666666667,3569.5,415.36,5568.42
2.0,Southern Province,23.0,Nyaruguru,2310.0,Nyabimata,nyabimata,Nyabimata,31.3,23.2,36.2,9.3,100,17166,Nyaruguru,45.5,22.35,28.599999999999998,7810.53,1596.438,5372.9580000000005
2.0,Southern Province,23.0,Nyaruguru,2311.0,Nyagisozi,nyagisozi,Nyagisozi,30.4,29.2,32.1,8.2,100,28846,Nyanza,40.3,21.790000000000003,30.0,11624.937999999998,2365.372,8769.184
2.0,Southern Province,23.0,Nyaruguru,2311.0,Nyagisozi,nyagisozi,Nyagisozi,48.1,18.7,28.5,4.8,100,18554,Nyaruguru,33.3,19.02,38.300000000000004,6178.482,890.592,8924.474
2.0,Southern Province,23.0,Nyaruguru,2312.0,Ruheru,ruheru,Ruheru,33.0,24.0,32.7,10.3,100,24408,Nyaruguru,43.0,22.03,30.0,10495.44,2514.0240000000003,8054.64
2.0,Southern Province,23.0,Nyaruguru,2313.0,Ruramba,ruramba,Ruramba,37.9,27.1,28.8,6.2,100,17294,Nyaruguru,35.0,20.330000000000002,34.300000000000004,6052.9,1072.228,6554.4259999999995
2.0,Southern Province,23.0,Nyaruguru,2314.0,Rusenge,rusenge,Rusenge,27.9,28.8,33.3,10.0,100,25099,Nyaruguru,43.3,22.54,28.2,10867.867,2509.9,7002.621
2.0,Southern Province,24.0,Huye,2401.0,Gishamvu,gishamvu,Gishamvu,40.8,22.9,29.3,7.1,100,14967,Huye,36.4,20.290000000000003,34.833333333333336,5447.987999999999,1062.657,6106.536
2.0,Southern Province,24.0,Huye,2402.0,Huye,huye,Huye,48.8,22.0,22.0,7.2,100,29738,Huye,29.2,18.76,39.86666666666667,8683.496,2141.136,14512.143999999998
2.0,Southern Province,24.0,Huye,2403.0,Karama,karama,Karama,38.5,30.3,26.1,5.2,100,17802,Huye,31.3,19.82,35.766666666666666,5572.026,925.7040000000001,6853.77
2.0,Southern Province,24.0,Huye,2403.0,Karama,karama,Karama,50.3,25.5,21.6,2.7,100,21261,Kamonyi,24.3,17.69,42.03333333333333,5166.423,574.047,10694.283000000001
2.0,Southern Province,24.0,Huye,2403.0,Karama,karama,Karama,34.2,26.6,31.1,8.1,100,33037,Nyagatare,39.2,21.310000000000002,31.666666666666668,12950.504,2675.9970000000003,11298.654000000002
2.0,Southern Province,24.0,Huye,2404.0,Kigoma,kigoma,Kigoma,36.3,22.5,30.2,10.9,100,42249,Nyanza,41.1,21.55,31.7,17364.339,4605.1410000000005,15336.386999999999
2.0,Southern Province,24.0,Huye,2404.0,Kigoma,kigoma,Kigoma,42.1,26.0,27.0,4.9,100,26579,Huye,31.9,19.47,36.733333333333334,8478.701,1302.371,11189.759000000002
2.0,Southern Province,24.0,Huye,2405.0,Kinazi,kinazi,Kinazi,38.5,23.3,28.9,9.2,100,34192,Huye,38.099999999999994,20.86,33.43333333333333,13027.151999999996,3145.6639999999998,13163.92
2.0,Southern Province,24.0,Huye,2405.0,Kinazi,kinazi,Kinazi,31.7,23.8,31.2,13.4,100,52274,Ruhango,44.6,22.65,29.066666666666666,23314.203999999998,7004.715999999999,16570.858
