province,district,area_sqkm,total_road_length_m,road_density_m_km2,road_coverage_index,major_roads_ratio,major_roads_exposure_index,pct_within_1km,pct_within_5km,pct_within_10km,urban_rural_type,AQI_mean,AQI_median,AQI_std,AQI_min,AQI_max,AQI_count,AQI_cv,avg_yoy_change,avg_yoy_pct_change,population_density,urban_percentage,rural_percentage,road_density_m_km2_scaled,road_coverage_index_scaled,major_roads_ratio_scaled,major_roads_exposure_index_scaled,population_density_scaled,AQI_mean_scaled
Western Province,Rubavu,339.6804943830152,1537409.001351417,4526.044405769951,0.9480898579753918,0.1383460027367449,0.6122432709930359,63.0684200491469,99.99999999999956,99.99999999999956,urban,68.07753181893753,71.8451301957604,14.172939044344027,37.65230563683266,86.68213624853098,61,0.20818820344484723,5.079277614026445,9.370943285483893,1214,53.9,46.1,0.5965317102196425,0.5371085732962003,1.3012783509756298,1.2350196262431483,0.6684032985623005,2.9181449328590885
Western Province,Nyabihu,539.3070474825798,2005444.146089754,3718.557277252217,0.8687462647845036,0.1097125605538641,0.5411125095279097,46.51137999505613,97.81376732335907,100.0,peri-urban,59.074619538349886,64.10492470448368,14.535819318953823,25.951935110512732,79.40287254968324,61,0.24605861929449252,4.566708158724943,10.36926659554664,642,24.5,75.5,-0.013884341806446073,-0.25920539952096844,0.2767179866900028,0.19842627957809753,-0.22772004107982208,-0.9382132644339591
Western Province,Ngororero,678.3351065636733,2016499.8780053605,2972.7193219006385,0.9514900626164532,0.0930779444852142,0.5149862999852356,39.190063134747874,99.95128365145416,100.0,rural,59.00352002776895,65.67670975909449,15.750713000637939,27.262631965039663,81.6771192011756,61,0.26694531094458684,5.392475648003176,12.64037163592614,451,4.9,95.1,-0.5776969947618449,0.5712339557905479,-0.3185009950235246,-0.18231272036626167,-0.5269500373589224,-0.9686684295968502
Iburengerazuba,Ngororero,678.3351065636733,2016499.8780053605,2972.7193219006385,0.9514900626164532,0.0930779444852142,0.5149862999852356,39.190063134747874,99.95128365145416,100.0,rural,59.00352002776895,65.67670975909449,15.750713000637939,27.262631965039663,81.6771192011756,61,0.26694531094458684,5.392475648003176,12.64037163592614,451,4.9,95.1,-0.5776969947618449,0.5712339557905479,-0.3185009950235246,-0.18231272036626167,-0.5269500373589224,-0.9686684295968502
Western Province,Rusizi,922.8605910512584,3783174.2427287945,4099.399496969814,0.6563846446999276,0.0680598220707078,0.4677267882149745,37.15051245167591,86.38209936057835,97.0568852540586,peri-urban,60.520167600775686,68.37383383359422,17.134648648627678,18.65763330427595,79.11852702786304,61,0.28312295434568596,6.803463738394713,14.906921751409627,871,33.4,66.6,0.27401152178658267,-2.390524622190846,-1.2136981721926083,-0.87102874784348,0.13104262461606267,-0.3190190585616177
Western Province,Nyamasheke,952.2745914888455,2171542.154155219,2280.373931598967,0.7098396452864333,0.127669859424492,0.4978444818470375,36.23590191121227,91.77041301449856,100.0,rural,63.40255032601702,69.50309256298841,16.588611729099352,28.553237916616137,86.55399940573238,61,0.2616395025720641,5.489628648822885,11.97805794347167,632,7.7,92.3,-1.101072197735283,-1.8540356358454084,0.9192651368009412,-0.43212158316762805,-0.24338653303160743,0.9156370064750127
Northern Province,Rulindo,568.4005363808423,2521934.1010083333,4436.896061122954,0.9928752916475944,0.1370709264751497,0.6206872612054447,65.59028093225709,100.0,100.0,rural,60.89549103803088,66.99083416377412,15.90261152089012,23.99305800782981,82.27312675949302,61,0.2611459608882784,6.568844126555637,14.180456030512559,635,10.6,89.4,0.529140443334717,0.9865874181230435,1.2556536373722826,1.3580744606522974,-0.23868658544607183,-0.15825090168240752
Northern Province,Gakenke,705.5536644334495,3764573.4919339055,5335.630274072504,0.9926549304768628,0.0817024210696979,0.5442279860257382,48.63456345913812,99.76013695135532,99.99999999999952,rural,61.04315520659135,67.12111815940561,15.44416218056591,24.96720166247736,80.77697519204307,61,0.2530039957518164,7.006717258183156,14.242360193355472,520,4.3,95.7,1.2085342945983042,0.9843758132251192,-0.7255393922969486,0.24382832705826832,-0.41885124289160347,-0.09499959931189811
Northern Province,Musanze,528.8226799682118,1955778.074304365,3698.362699614037,0.8299465546529965,0.1105007106589174,0.5485372058688897,49.02178681347859,97.0527327733523,99.99999999999972,peri-urban,60.05601646350745,65.63576595798436,14.232432203262052,27.435940330097896,77.69813255540936,61,0.2369859514726601,5.76037791198561,11.979366669261841,1157,49.2,50.8,-0.0291503366673925,-0.6486098879796927,0.3049195334543647,0.3066268761911614,0.579104294437124,-0.5178361732020405
Northern Province,Burera,646.6727469103434,2074431.539755446,3207.8536627167487,0.8726412097148247,0.1466354246456427,0.5652312870134318,49.47379810852944,99.08684106661264,99.99999999999964,rural,60.47385431233095,65.30920242403774,14.018883263317143,30.365763871681196,80.34677777330275,61,0.23181726090937477,5.140220738669363,11.093246674197596,682,9.9,90.1,-0.3999483088104074,-0.22011466835246468,1.5978900219180538,0.5499108378229111,-0.16505407327268062,-0.33885715361032326
Northern Province,Gicumbi,829.9738462862812,2637283.842902313,3177.5505393366816,0.9729815514646128,0.1497251641303409,0.5993739922910932,58.416126586283255,99.99999999999984,99.99999999999984,rural,59.905992821036484,66.87250680858513,15.952746918173347,27.222424494192285,80.29376416947858,61,0.2662963447718941,5.886216992791608,13.529218688313183,510,6.3,93.7,-0.42285581071904466,0.7869284079596142,1.7084469221947074,1.0474747665504485,-0.43451773484338885,-0.5820981459281476
Eastern Province,Rwamagana,681.6064216115625,2526901.8195882468,3707.2740799796793,0.969251480423124,0.0546921974026492,0.4594480117896181,32.099108194500445,90.80641613717704,100.0,peri-urban,62.70710719510931,69.04833191816583,17.896959168298928,23.253752365457835,87.1877096293368,61,0.2854055938605753,6.837391215347644,14.93265168973696,740,37.1,62.9,-0.022413821088644502,0.7494923961723469,-1.6920178346371086,-0.9916759106783576,-0.07418841995232554,0.6177469754447376
Eastern Province,Nyagatare,1920.4827335319044,5254875.261530506,2736.2262465470944,0.892776552590553,0.068375916651851,0.4313514452233867,30.50505869036885,82.1549067511826,93.96118616718351,peri-urban,62.322772828421485,68.31826680237782,18.250605123045972,19.21449561958952,89.75207614209558,61,0.2928400694444555,6.926154628704095,15.108149097926027,373,24.1,75.9,-0.7564728096207294,-0.018030867574352284,-1.2023876920506713,-1.4011290553767501,-0.6491486745828483,0.4531190262561357
Eastern Province,Gatsibo,1586.0240741018622,3451116.886867163,2175.9549197394563,0.7348244927030982,0.095840262579307,0.3908805469774163,24.96324764270173,73.733435310254,85.65491950188196,rural,62.3869291391454,68.07083333896645,17.746590558432235,23.421735768780557,88.66976905974914,61,0.2844600752643382,6.219894183908785,14.102769973837088,435,10.0,90.0,-1.1800072528274312,-1.6032808829225214,-0.2196598702058951,-1.9909141636930616,-0.552016424481779,0.48060010205221204
Eastern Province,Kayonza,1933.531926436979,3264207.3992401985,1688.209723671502,0.6800999104313282,0.08893944173084,0.3777324128842886,22.66594782519006,71.4167851616138,86.9603672410588,rural,63.01062891919417,67.56913297564466,18.29010237844427,21.706965993603493,90.0653364876519,61,0.2902701130296571,6.65978971963842,14.559842388381707,338,14.2,85.8,-1.5487159126484438,-2.152511737829123,-0.4665846889970622,-2.182522801661576,-0.7039813964140971,0.747759181745471
Eastern Province,Kirehe,1189.5769341143744,2959634.707135982,2487.9725070824397,0.8193007144086575,0.1007106658094386,0.4806031601876743,32.193523455050766,94.14887064388816,100.0,rural,63.34238924266841,68.80387187290299,17.606635242857966,25.13049798692224,88.8805578585865,61,0.27795975891288077,7.538733014573374,15.644916099578058,535,6.3,93.7,-0.9441390425461991,-0.755454448428967,-0.04538735082766494,-0.6833805174413781,-0.3953515049639254,0.8898672688946859
Eastern Province,Ngoma,869.5329125545846,2298647.053627561,2643.5423207551835,0.8779809653648709,0.0658648383052952,0.4243872205625901,24.598651386028948,85.05503762399223,99.94065014965472,rural,64.0987849577991,69.64606505394964,18.098630389026958,22.244374522100863,88.92618123322514,61,0.2823552802278952,7.230432974922401,14.915071041454132,498,9.2,90.8,-0.8265367822465602,-0.16652342217167648,-1.292238969066717,-1.5026191673812699,-0.45331752518553126,1.2138660734516447
Eastern Province,Bugesera,1295.5106734728054,4022904.606324255,3105.265505486166,0.8177588257643309,0.0587192387567753,0.4725589732126456,32.930522386759705,95.08874915807355,99.99999999999976,peri-urban,60.566310325244714,67.62060763358978,19.415124435315473,17.310063814704833,88.17468669383626,61,0.320559801828031,7.059458153568118,17.058364879067014,430,40.1,59.9,-0.47749933805873124,-0.770929264007982,-1.5479224467887163,-0.8006089925186847,-0.5598496704576718,-0.2992540238477665
