province,district,area_sqkm,total_road_length_m,road_density_m_km2,road_coverage_index,major_roads_ratio,major_roads_exposure_index,pct_within_1km,pct_within_5km,pct_within_10km,urban_rural_type
Kigali City,Nyarugenge,132.70559943229387,763869.3810992732,5756.12019663871,0.9697885739613764,0.16190931395197203,0.6706687018312452,77.74168789875819,100.0,100.0,urban
Kigali City,Gasabo,429.96028788880807,2893695.5618002675,6730.14611653764,0.9964080939177888,0.08337202329296049,0.5818498479290222,59.09664026889564,99.9999999999998,99.9999999999998,urban
Kigali City,Kicukiro,167.29087425082204,1372616.785599945,8204.971082534708,0.9381191077163571,0.10559794450631127,0.6437589397861747,74.87987326693762,99.99999999999991,99.99999999999991,urban
Southern Province,Nyanza,673.4260231024618,2501284.979717128,3714.268373820412,0.9676029163643868,0.11197615268317986,0.5563743033144539,49.36634538481545,99.99964222030798,99.99999999999942,rural
Southern Province,Gisagara,681.595136797899,2304139.2990180906,3380.510180637182,0.9467148941244651,0.07854033735855272,0.5244439723325826,43.12519297427445,99.97318843574105,100.0,rural
Southern Province,Nyaruguru,1014.0541135776566,3261338.412858898,3216.1384379701976,0.7753336581387851,0.09096354427242798,0.4870220229285629,39.79697240743707,86.06756267943703,99.78691042427643,rural
Southern Province,Huye,582.4900518423296,2766192.17541074,4748.908872626553,0.9869336123571862,0.1003216981102106,0.575523982787221,55.83642095833083,99.99999999999997,99.99999999999997,peri-urban
Southern Province,Nyamagabe,1094.246929120571,3060827.541271872,2797.2000284540995,0.7835010648542666,0.12263776139160608,0.5318040387224683,43.707663733055824,96.20756535204342,100.0,rural
Southern Province,Ruhango,627.3825311708979,2194314.6600088445,3497.570542669632,0.9818738232497874,0.09006270521644892,0.5270705931071114,43.05454364252771,99.69565656825255,99.9999999999996,rural
Southern Province,Muhanga,648.1771068992582,2640334.94620779,4073.4776315050567,0.9796573167381423,0.11481745599687779,0.5689079418976232,52.70363002815998,100.0,100.0,peri-urban
Southern Province,Kamonyi,661.1925218404517,2598125.6083887108,3929.4540131166946,0.9760293123396175,0.07022533681294461,0.5127925383348789,40.56405559127139,99.88130605787896,100.0,peri-urban
Western Province,Karongi,791.1296619434174,2575760.6151425987,3255.800836509174,0.9540758895729958,0.1425952505139586,0.5849253780921035,54.899086553690445,99.99999999999984,99.99999999999984,rural
Western Province,Rutsiro,663.88088418405,2369742.535703045,3569.529703533492,0.9365955204226336,0.09961149683466654,0.5233316558957204,41.73454267061985,98.89762227721761,99.78021479713863,rural
Western Province,Rubavu,339.6804943830152,1537409.001351417,4526.044405769951,0.9480898579753918,0.13834600273674494,0.6122432709930359,63.0684200491469,99.99999999999955,99.99999999999955,urban
Western Province,Nyabihu,539.3070474825798,2005444.146089754,3718.557277252217,0.8687462647845036,0.10971256055386416,0.5411125095279097,46.51137999505613,97.81376732335909,100.0,peri-urban
Western Province,Ngororero,678.3351065636733,2016499.8780053603,2972.7193219006385,0.9514900626164531,0.09307794448521424,0.5149862999852356,39.190063134747874,99.95128365145416,100.0,rural
Iburengerazuba,Ngororero,678.3351065636733,2016499.8780053603,2972.7193219006385,0.9514900626164531,0.09307794448521424,0.5149862999852356,39.190063134747874,99.95128365145416,100.0,rural
Western Province,Rusizi,922.8605910512584,3783174.2427287945,4099.399496969814,0.6563846446999276,0.06805982207070782,0.46772678821497454,37.15051245167591,86.38209936057835,97.05688525405861,peri-urban
Western Province,Nyamasheke,952.2745914888457,2171542.154155219,2280.373931598967,0.7098396452864333,0.12766985942449208,0.4978444818470375,36.23590191121227,91.77041301449857,100.0,rural
Northern Province,Rulindo,568.4005363808423,2521934.1010083333,4436.896061122954,0.9928752916475944,0.13707092647514973,0.6206872612054447,65.59028093225709,100.0,100.0,rural
Northern Province,Gakenke,705.5536644334495,3764573.4919339055,5335.630274072504,0.9926549304768627,0.08170242106969791,0.5442279860257382,48.63456345913812,99.76013695135532,99.99999999999953,rural
Northern Province,Musanze,528.8226799682118,1955778.0743043653,3698.3626996140365,0.8299465546529965,0.11050071065891745,0.5485372058688897,49.02178681347859,97.0527327733523,99.99999999999972,peri-urban
Northern Province,Burera,646.6727469103434,2074431.5397554461,3207.8536627167487,0.8726412097148247,0.14663542464564272,0.5652312870134318,49.47379810852944,99.08684106661264,99.99999999999963,rural
Northern Province,Gicumbi,829.9738462862812,2637283.842902313,3177.5505393366816,0.9729815514646128,0.1497251641303409,0.5993739922910932,58.416126586283255,99.99999999999984,99.99999999999984,rural
Eastern Province,Rwamagana,681.6064216115625,2526901.8195882468,3707.2740799796793,0.9692514804231239,0.0546921974026492,0.45944801178961814,32.099108194500445,90.80641613717705,100.0,peri-urban
Eastern Province,Nyagatare,1920.4827335319044,5254875.261530506,2736.2262465470944,0.892776552590553,0.06837591665185103,0.4313514452233867,30.505058690368852,82.1549067511826,93.96118616718353,peri-urban
Eastern Province,Gatsibo,1586.0240741018622,3451116.886867163,2175.9549197394563,0.7348244927030982,0.09584026257930703,0.3908805469774163,24.963247642701734,73.733435310254,85.65491950188196,rural
Eastern Province,Kayonza,1933.5319264369787,3264207.3992401985,1688.209723671502,0.6800999104313282,0.08893944173084008,0.3777324128842886,22.66594782519006,71.4167851616138,86.9603672410588,rural
Eastern Province,Kirehe,1189.5769341143744,2959634.707135982,2487.9725070824393,0.8193007144086575,0.10071066580943862,0.48060316018767435,32.193523455050766,94.14887064388817,100.0,rural
Eastern Province,Ngoma,869.5329125545846,2298647.053627561,2643.5423207551835,0.8779809653648709,0.06586483830529526,0.42438722056259015,24.598651386028948,85.05503762399223,99.94065014965473,rural
