sector_id,sector_name,district_name,area_sqkm,total_road_length_m,road_density_m_km2,primary_road_length_m,secondary_road_length_m,tertiary_road_length_m,residential_road_length_m,unclassified_road_length_m,major_roads_length_m,major_roads_ratio,local_roads_ratio,road_coverage_area_sqkm,road_coverage_index,pct_within_1000m,pct_within_5000m,urban_rural_type
,,,1.175762141536035,30004.005552231305,25518.7716054827,0.0,4563.884632003203,2972.973395371676,10940.198355356439,79.11098299551917,7003.533189703401,0.23341994046466805,0.7665800595353319,1.1757621415360378,1.0000000000000022,100.00000000000023,100.00000000000023,
,,,24.21991357848221,90533.09174544807,3737.960973811266,0.0,8527.855987381645,0.0,18363.09886699224,20343.126653718493,13464.060954638604,0.1487197741185677,0.8512802258814322,23.46774123163159,0.9689440532306904,64.33502798166366,99.99999999999972,
,,,29.43784001138785,174435.20289008063,5925.543546082235,0.0,25291.976994259898,6075.997965341341,50373.67109191371,37283.55601567982,31259.724156057968,0.17920536473223303,0.8207946352677671,28.678195636681814,0.9741949689782888,86.15027643585826,99.99999999999982,
,,,3.318777521261351,52572.84858637983,15841.028285137574,826.4216900774318,84.47270161079095,5067.015280287529,19096.71564120672,1966.8086782578366,3493.462825129741,0.06644994363183129,0.9335500563681687,3.31877752126135,0.9999999999999998,59.090989507147505,99.99999999999997,
,,,54.7506061348659,192168.06827830255,3509.880197580633,0.0,31858.884438183453,7355.105156258208,50133.35305429166,45913.406745452405,42573.151252454925,0.221541235408577,0.7784587645914229,52.012705653525295,0.9499932388949924,74.3670892856381,99.99999999999987,
,,,2.948837351578071,52047.04418674557,17650.02201931978,6332.221885123977,5838.71627876885,8564.779949443478,16622.5617006982,0.0,20360.59555217393,0.3911960010470491,0.6088039989529509,2.94883735157807,0.9999999999999997,99.99999999999997,99.99999999999997,
,,,2.4287525578706384,33635.732955912055,13848.974794452313,0.0,60.07789646012024,1897.6731523980147,17930.309988183257,2090.860347996319,60.07789646012024,0.0017861331144133883,0.9982138668855867,2.428752557870638,0.9999999999999998,72.00272818989669,99.99999999999997,
,,,8.761802072749411,108066.8614270144,12333.86243260612,0.0,12129.127285998162,5821.963762878164,70896.3550257574,11716.112569016297,12129.127285998162,0.11223724947531546,0.8877627505246845,8.761802072749424,1.0000000000000013,89.19825123277616,100.00000000000013,
,,,4.6346522107191515,86478.54903849105,18659.123728525105,61.286934805338454,14191.13607284547,6574.2177025546325,39024.60405261738,210.98816841710973,18429.933822122395,0.21311566888014447,0.7868843311198556,4.634652210719159,1.0000000000000016,100.00000000000016,100.00000000000016,
,,,1.0286558518437938,20846.628153545524,20265.891761738774,0.0,2678.743079647196,0.0,17613.859681673224,0.0,2678.743079647196,0.12849766686089253,0.8715023331391074,1.0286558518437943,1.0000000000000004,100.00000000000004,100.00000000000004,
,,,60.70041562521893,364810.74712972547,6010.020580125306,0.0,20404.0041823861,8958.579403872998,110115.90716000684,110895.17623089025,20404.0041823861,0.05593038128103859,0.9440696187189614,60.63026264272748,0.9988442750882532,35.504013651628654,99.99999999999993,
,,,6.0332033954296325,64993.55629513337,10772.644652485662,0.0,5917.935203687421,0.0,27123.12688831178,4970.719506998246,10961.654172940667,0.16865755311440714,0.8313424468855929,6.033203395429635,1.0000000000000004,99.8658510605758,100.00000000000004,
,,,35.11305221165068,185159.5365512499,5273.239575846758,0.0,29226.39361210738,0.0,55990.64727395674,58628.26020145644,29198.113950322637,0.15769165603976845,0.8423083439602315,34.64333785391784,0.9866227989836501,54.08455351714837,100.0,
,,,8.319126594007363,81385.05726541346,9782.884819187479,0.0,1553.9015625513355,3030.724108804667,64424.974198881406,0.0,1553.9015625513355,0.01909320475727801,0.980906795242722,8.319029560094343,0.9999883360456264,83.62071855055812,99.99999999999993,
,,,36.447570943542594,265218.549879105,7276.714003518353,0.0,21432.906483055733,13956.50269640225,84316.74826059089,108160.30539810965,35827.65311060186,0.13508728226940853,0.8649127177305915,36.44617483710637,0.9999616954875158,49.56281291458121,100.0,
,,,37.44380937425637,203123.92173598747,5424.766473564003,0.0,18954.083968070976,0.0,33039.195902627966,70432.05771659501,18954.083968070976,0.09331290872134082,0.9066870912786592,36.88993184316783,0.9852077675764116,60.49702717334207,100.00000000000009,
,,,5.79442783642318,86327.7601622254,14898.409747995813,0.0,11349.06286432351,3888.7108328710337,42263.73656981151,226.3754851297433,11065.31806750312,0.12817798176055298,0.871822018239447,5.794427836423182,1.0000000000000002,99.12348144724601,100.00000000000003,
,,,5.080304630661454,91763.52260164695,18062.60239746674,12129.317922086278,11607.897889315094,0.0,35336.00718619223,0.0,23409.570887631136,0.2551075876767942,0.7448924123232058,5.08030463066145,0.9999999999999993,99.99999999999993,99.99999999999993,
,,,11.352128991827238,178015.71221854436,15681.262285400702,0.0,10974.357334928376,14308.710063582264,133102.82776065826,2141.1001429018033,10948.630293497488,0.06150372996320794,0.938496270036792,11.352128991827241,1.0000000000000002,93.81904865814874,100.00000000000003,
,,,24.236428318769324,228621.576034355,9432.973086108752,0.0,10852.003637914566,5867.74834939121,135833.09078000695,23176.309626368144,10852.003637914566,0.047467101863928336,0.9525328981360717,24.18018200697463,0.9976792656469462,58.63628035160219,100.00000000000011,
,,,50.45429784560018,439818.2811618367,8717.161866126151,0.0,17638.81339044587,16354.541412823164,129892.94743276661,167965.4048547041,17638.81339044587,0.04010477541736253,0.9598952245826374,50.45429784560008,0.999999999999998,44.67890912547748,99.9999999999998,
