sector,district,count,area_sqkm,population_density,non_poor,vulnerable,moderately_poor,severely_poor,poverty_rate,poverty_index,urban_rural_class,distance_to_major_road_km,road_density_km_per_sqkm,vulnerability_index,vulnerability_category
Busasamana,Rubavu,36619,49.27750614807219,743.1179631932853,27.5,19.5,35.2,17.8,53.0,24.330000000000002,Urban,,5.304062931418685,,
Busoro,Nyanza,40338,73.40896584412644,549.4969113943389,33.7,21.0,29.7,15.6,45.3,22.72,Urban,,3.161404951020792,,
Cyabakamyi,Nyanza,24979,60.18764889530378,415.0187033132145,30.6,29.0,32.5,7.9,40.4,21.77,Urban,,2.3302397645752277,,
Kibilizi,Nyanza,41150,83.58719840844398,492.30026587232794,27.1,22.7,32.1,18.1,50.2,24.12,Urban,,3.100461175994622,,
Kigoma,Nyanza,42249,66.16974704090902,638.494204517358,36.3,22.5,30.2,10.9,41.1,21.55,Urban,,3.5848655612152793,,
Kigoma,Huye,26579,66.16974704090902,401.6790329207048,42.1,26.0,27.0,4.9,31.9,19.47,Urban,,3.5848655612152793,,
Mukingo,Nyanza,40510,76.06699134966729,532.556885466684,42.9,24.3,25.8,7.0,32.8,19.69,Urban,,3.1073677498291907,,
Muyira,Nyanza,43489,80.73189826542044,538.6842243820677,30.3,24.8,31.5,13.4,44.9,22.8,Urban,1.519109146006484,3.297595608720782,0.5248611067764496,Very High
Ntyazo,Nyanza,34064,62.37233834933671,546.1395371969768,26.5,22.3,33.0,18.2,51.2,24.29,Urban,0.4572553101318111,3.7918200333585856,0.6050095502060493,Very High
Nyagisozi,Nyanza,28846,72.85341367126055,395.94575664172703,30.4,29.2,32.1,8.2,40.3,21.790000000000003,Urban,,3.819794069136647,,
Nyagisozi,Nyaruguru,18554,72.85341367126055,254.67578065349107,48.1,18.7,28.5,4.8,33.3,19.02,Urban,,3.819794069136647,,
Rwabicuma,Nyanza,21952,47.11413174211777,465.9323898858135,35.6,26.6,30.9,6.9,37.8,20.91,Urban,,4.081769195970348,,
Gikonko,Gisagara,28794,49.53388800413697,581.2990088239223,32.2,21.9,34.5,11.5,46.0,22.55,Urban,2.186834855030018,3.241266859781119,0.5164560894425214,Very High
Gishubi,Gisagara,31209,61.74160831086805,505.47760017625654,21.3,19.9,38.9,20.0,58.9,25.78,Urban,,3.119654061599315,,
Kansi,Gisagara,23524,41.914055980708596,561.2437033253756,40.6,22.7,29.7,7.0,36.7,20.31,Urban,,3.8625974458745724,,
Kibirizi,Gisagara,34480,39.94896415653787,863.1012274784391,36.8,22.0,32.1,9.1,41.2,21.35,Urban,,4.095163690964122,,
Kibirizi,Nyamagabe,22044,39.94896415653787,551.8040446210763,34.2,33.5,27.8,4.6,32.4,20.3,Urban,,4.095163690964122,,
Kigembe,Gisagara,23360,45.04809713691372,518.5568644331958,32.8,24.3,35.6,7.3,42.9,21.74,Urban,,3.129882761730186,,
Mamba,Gisagara,44880,80.12160035222719,560.1485717047643,30.1,20.9,32.3,16.7,49.0,23.56,Urban,,3.0019960196570823,,
Muganza,Gisagara,36715,69.96086733045101,524.7933795128854,29.8,21.4,34.8,14.0,48.8,23.3,Urban,,2.4523329847542485,,
Muganza,Nyaruguru,19277,69.96086733045101,275.5397515149092,35.9,23.4,33.3,7.4,40.699999999999996,21.220000000000002,Urban,,2.4523329847542485,,
Muganza,Rusizi,29446,69.96086733045101,420.8924377811909,48.4,18.3,25.4,8.0,33.4,19.32,Urban,,2.4523329847542485,,
Mugombwa,Gisagara,34760,49.83452075796243,697.5084634368865,41.2,21.5,29.7,7.6,37.3,20.369999999999997,Urban,0.683215057484262,3.5617844382038166,0.48664453210647785,High
Mukindo,Gisagara,32209,51.1901865460256,629.2026299033033,33.0,22.1,33.6,11.3,44.900000000000006,22.32,Urban,,3.2439928185153315,,
Musha,Gisagara,29634,49.83287138056681,594.6677199009707,30.7,21.5,34.4,13.4,47.8,23.049999999999997,Urban,,2.8540398785722445,,
Musha,Rwamagana,27614,49.83287138056681,554.1322270819128,40.7,23.1,27.6,8.5,36.1,20.369999999999997,Urban,,2.8540398785722445,,
Ndora,Gisagara,31477,60.873062161403546,517.0924360029638,30.7,22.7,33.1,13.5,46.6,22.94,Urban,0.10026111615997815,3.5516186859926138,0.5765518534038601,Very High
