Prov_ID,Province,Dist_ID,District,Sect_ID,Name,area_sqkm,join_key,sector,non_poor,vulnerable,moderately_poor,severely_poor,total,count,district,poverty_rate,poverty_index,population_density,poor_population,poor_population_density
1.0,Kigali City,12.0,Gasabo,1213.0,Remera,7.265450951862925,remera,Remera,51.1,23.5,23.3,2.1,100,19805,Musanze,25.400000000000002,17.64,2725.914761687549,5030.47,692.3823494686375
1.0,Kigali City,12.0,Gasabo,1213.0,Remera,7.265450951862925,remera,Remera,35.4,23.3,30.7,10.7,100,32297,Gatsibo,41.4,21.689999999999998,4445.284981480574,13370.958,1840.3479823329576
1.0,Kigali City,12.0,Gasabo,1213.0,Remera,7.265450951862925,remera,Remera,48.1,20.0,24.4,7.5,100,33049,Ngoma,31.9,19.13,4548.788536178329,10542.631,1451.0635430408868
1.0,Kigali City,12.0,Gasabo,1214.0,Rusororo,52.221698205505945,rusororo,Rusororo,68.5,14.7,12.0,4.7,100,66577,Gasabo,16.7,15.27,1274.8915161280702,11118.358999999999,212.9068831933877
1.0,Kigali City,12.0,Gasabo,1215.0,Rutunga,42.701497286502644,rutunga,Rutunga,40.8,25.6,26.1,7.5,100,22460,Gasabo,33.6,20.03,525.9768726446812,7546.56,176.72822920861287
1.0,Kigali City,13.0,Kicukiro,1301.0,Gahanga,36.76099790019146,gahanga,Gahanga,72.8,14.7,9.2,3.3,100,91500,Kicukiro,12.5,14.3,2489.0510385063144,11437.5,311.1313798132893
1.0,Kigali City,13.0,Kicukiro,1302.0,Gatenga,12.438081560534618,gatenga,Gatenga,85.4,9.2,4.2,1.2,100,76266,Kicukiro,5.4,12.120000000000001,6131.652990762501,4118.3640000000005,331.10926150117507
1.0,Kigali City,13.0,Kicukiro,1303.0,Gikondo,3.3848646280541947,gikondo,Gikondo,91.8,5.9,1.9,0.3,100,18466,Kicukiro,2.1999999999999997,11.05,5455.461895566343,406.25199999999995,120.02016170245952
1.0,Kigali City,13.0,Kicukiro,1304.0,Kagarama,7.992546479216292,kagarama,Kagarama,90.2,6.9,2.6,0.4,100,21609,Kicukiro,3.0,11.34,2703.6439583043707,648.27,81.10931874913112
1.0,Kigali City,13.0,Kicukiro,1305.0,Kanombe,22.99484841370641,kanombe,Kanombe,83.7,9.9,5.1,1.3,100,79728,Kicukiro,6.3999999999999995,12.4,3467.2113755912815,5102.592,221.90152803784198
1.0,Kigali City,13.0,Kicukiro,1306.0,Kicukiro,2.0477559328531187,kicukiro,Kicukiro,93.3,5.3,1.2,0.2,100,17982,Kicukiro,1.4,10.83,8781.319937354961,251.748,122.93847912296945
1.0,Kigali City,13.0,Kicukiro,1307.0,Kigarama,8.360836936881071,kigarama,Kigarama,86.4,8.8,3.9,0.8,100,70740,Kicukiro,4.7,11.89,8460.875452307155,3324.78,397.6611462584363
1.0,Kigali City,13.0,Kicukiro,1307.0,Kigarama,8.360836936881071,kigarama,Kigarama,34.7,24.3,32.6,8.4,100,37679,Kirehe,41.0,21.47,4506.606250600527,15448.39,1847.708562746216
1.0,Kigali City,13.0,Kicukiro,1308.0,Masaka,52.704196032356656,masaka,Masaka,74.5,14.2,9.0,2.4,100,85335,Kicukiro,11.4,13.95,1619.131045042606,9728.19,184.5809391348571
1.0,Kigali City,13.0,Kicukiro,1309.0,Niboye,5.026496564437608,niboye,Niboye,94.2,4.3,1.4,0.1,100,30306,Kicukiro,1.5,10.74,6029.249122423464,454.59,90.43873683635195
1.0,Kigali City,13.0,Kicukiro,1310.0,Nyarugunga,15.276185073216796,nyarugunga,Nyarugunga,94.1,4.1,1.6,0.3,100,49735,Kicukiro,1.9000000000000001,10.83,3255.7212263157667,944.965,61.858703299999576
2.0,Southern Province,21.0,Nyanza,2101.0,Busasamana,49.27750614807219,busasamana,Busasamana,59.0,18.5,17.3,5.1,100,54321,Nyanza,22.4,16.830000000000002,1102.3488046812433,12167.903999999999,246.9261322485985
2.0,Southern Province,21.0,Nyanza,2101.0,Busasamana,49.27750614807219,busasamana,Busasamana,27.5,19.5,35.2,17.8,100,36619,Rubavu,53.0,24.330000000000002,743.1179631932853,19408.07,393.8525204924412
2.0,Southern Province,21.0,Nyanza,2102.0,Busoro,73.40896584412644,busoro,Busoro,33.7,21.0,29.7,15.6,100,40338,Nyanza,45.3,22.72,549.4969113943389,18273.113999999998,248.9221008616355
2.0,Southern Province,21.0,Nyanza,2103.0,Cyabakamyi,60.18764889530378,cyabakamyi,Cyabakamyi,30.6,29.0,32.5,7.9,100,24979,Nyanza,40.4,21.77,415.0187033132145,10091.516,167.66755613853863
2.0,Southern Province,21.0,Nyanza,2104.0,Kibilizi,83.58719840844398,kibilizi,Kibilizi,27.1,22.7,32.1,18.1,100,41150,Nyanza,50.2,24.12,492.30026587232794,20657.300000000003,247.13473346790866
2.0,Southern Province,21.0,Nyanza,2105.0,Kigoma,66.16974704090902,kigoma,Kigoma,36.3,22.5,30.2,10.9,100,42249,Nyanza,41.1,21.55,638.494204517358,17364.339,262.4211180566341
