Dist_ID,District,Name,Prov_ID,Province,Sect_ID,NO2_mean,year,month,date,CO_mean,SO2_mean,O3_mean,AER_mean,poor_percent,avg_deprivation_intensity,poverty_index,NO2_µg_m3,SO2_µg_m3,O3_µg_m3,CO_mg_m3,NO2_EF,CO_EF,SO2_EF,O3_EF,AER_EF,AQI
11,Nyarugenge,Gitega,1,Kigali City,1101,-0.31453926673264426,2020,1,2020-01,1.3371575511838432,-0.7156036381583389,-1.710457619469342,-0.6366778271411957,0.025,0.394,0.01,-0.0018089939577961203,-0.0057310906371005966,-0.010262745716816053,0.004681722876082432,-0.00018089939577961204,0.001170430719020608,-0.0001432772659275149,-0.00017104576194693422,0.5017920320686237,50.17920320686237
11,Nyarugenge,Gitega,1,Kigali City,1101,-0.6214416259737344,2020,2,2020-02,0.4722471661911737,-0.33971059482434723,-1.1400334314002925,-0.9563529149549196,0.157,0.41,0.065,-0.00357406615138144,-0.002720657226299491,-0.0068402005884017555,0.001653455390626847,-0.000357406615138144,0.00041336384765671173,-6.801643065748727e-05,-0.00011400334314002926,0.44627718702906627,44.62771870290663
11,Nyarugenge,Gitega,1,Kigali City,1101,-0.8378568568089684,2020,3,2020-03,0.6402282982247943,-0.249378479853476,-0.33297823245437314,-1.332857229203177,0.143,0.411,0.059,-0.0048187242477225785,-0.0019972099005265255,-0.001997869394726239,0.002241599329159561,-0.00048187242477225784,0.0005603998322898903,-4.993024751316314e-05,-3.329782324543731e-05,0.38089336620910835,38.089336620910835
11,Nyarugenge,Gitega,1,Kigali City,1101,-0.8452270261908522,2020,4,2020-04,-0.2769966073037109,2.5639542290037123,-0.3985109805295101,-0.9954839089659859,0.039,0.398,0.015,-0.004861111934380139,0.020534068431533478,-0.0023910658831770605,-0.0009698343713221178,-0.0004861111934380139,-0.00024245859283052946,0.0005133517107883369,-3.985109805295101e-05,0.4394816901274309,43.94816901274309
11,Nyarugenge,Gitega,1,Kigali City,1101,-0.05835965429000973,2020,5,2020-05,-1.0192697166503426,0.05980567609482683,-0.7989226100432946,-1.3611837714250903,0.25,0.426,0.107,-0.00033564096173541847,0.00047896870842444435,-0.004793535660259767,-0.003568718095422012,-3.356409617354185e-05,-0.000892179523855503,1.197421771061111e-05,-7.989226100432945e-05,0.37597417274705064,37.597417274705066
11,Nyarugenge,Gitega,1,Kigali City,1101,1.5874654630066445,2020,6,2020-06,0.011031951596417384,0.7406570156077685,-0.22221158599225885,-0.8701314739751572,0.019,0.387,0.007,0.009129910744116964,0.005931736873748716,-0.001333269515953553,3.862562052695637e-05,0.0009129910744116964,9.656405131739092e-06,0.0001482934218437179,-2.2221158599225884e-05,0.4612504211581768,46.125042115817685
11,Nyarugenge,Gitega,1,Kigali City,1101,1.5948975206704243,2020,7,2020-07,0.9340895806663647,4.166165738096441,0.053926090088345376,-1.4128627003818068,0.027,0.396,0.01,0.009172654365755777,0.03336577985497987,0.00032355654053007227,0.0032704811443081097,0.0009172654365755777,0.0008176202860770274,0.0008341444963744967,5.392609008834538e-06,0.3669995987429788,36.69995987429788
11,Nyarugenge,Gitega,1,Kigali City,1101,2.189724915758436,2020,8,2020-08,1.6554786047257648,-1.3174833469930154,0.43760956834128045,-1.076605955471246,0.063,0.426,0.027,0.012593655421755705,-0.010551394755230311,0.002625657410047683,0.005796244464796084,0.0012593655421755706,0.001449061116199021,-0.0002637848688807578,4.376095683412805e-05,0.42539401794806014,42.53940179480601
11,Nyarugenge,Gitega,1,Kigali City,1101,0.9115975166785143,2020,9,2020-09,1.2919562234223751,-0.6413631969374595,0.659091315781084,-0.7879339836983986,0.024,0.386,0.009,0.005242825217797306,-0.005136517503472878,0.003954547894686505,0.004523461727257591,0.0005242825217797306,0.0011308654318143978,-0.00012841293758682196,6.590913157810842e-05,0.47552485513600923,47.55248551360092
11,Nyarugenge,Gitega,1,Kigali City,1101,0.45262116255313906,2020,10,2020-10,0.3074990014642766,-0.6165108633252445,1.2555950236354025,-0.5047216687097111,0.011,0.374,0.004,0.0026031374611337407,-0.0049374813766560515,0.007533570141812415,0.0010766308788767987,0.00026031374611337407,0.00026915771971919967,-0.0001234370344164013,0.00012555950236354025,0.5247075671434362,52.47075671434362
11,Nyarugenge,Gitega,1,Kigali City,1101,0.37638476793143216,2020,11,2020-11,-0.041976877875469235,1.2495413057797689,0.16384938920674072,-1.51753197396902,0.143,0.421,0.06,0.0021646828965656492,0.010007263932663723,0.0009830963352404443,-0.00014697154366148665,0.00021646828965656492,-3.674288591537166e-05,0.0002501815983165931,1.638493892067407e-05,0.3488227100046762,34.88227100046762
11,Nyarugenge,Gitega,1,Kigali City,1101,0.3566482543569153,2020,12,2020-12,0.08560699043896025,-0.7907632610161515,-0.5841556983914387,-1.0727786006498357,0.048,0.409,0.02,0.002051173272870209,-0.006333025266663102,-0.003504934190348632,0.0002997314752744096,0.00020511732728702088,7.49328688186024e-05,-0.00015832563166657756,-5.841556983914387e-05,0.42605867721592844,42.605867721592844
11,Nyarugenge,Gitega,1,Kigali City,1101,-0.4726647839644703,2021,1,2021-01,0.9186262669590153,-1.7841729182362318,-1.3670631980053964,-1.1407967225862417,0.365,0.428,0.156,-0.00271841333877566,-0.01428899485892442,-0.008202379188032377,0.0032163402171902526,-0.000271841333877566,0.0008040850542975631,-0.00035722487147311053,-0.00013670631980053962,0.4142466354174708,41.42466354174708
11,Nyarugenge,Gitega,1,Kigali City,1101,0.03047976269614742,2021,2,2021-02,3.017011779338477,-0.6387271278840793,-0.14790545469261762,-0.48657657978856994,0.05,0.406,0.02,0.00017529673520621787,-0.005115405885441619,-0.0008874327281557057,0.010563312492408843,1.7529673520621786e-05,0.0026408281231022107,-0.0001278851471360405,-1.4790545469261762e-05,0.5278586472184439,52.78586472184439
11,Nyarugenge,Gitega,1,Kigali City,1101,-0.14329901694221628,2021,3,2021-03,0.18537531052757114,-0.7448399834586872,0.27977177464113606,-1.0557381416216967,0.156,0.416,0.065,-0.0008241484711889213,-0.00596523721752476,0.0016786306478468163,0.0006490453059846585,-8.241484711889214e-05,0.00016226132649616463,-0.000149130930438119,2.7977177464113605e-05,0.42901792702428787,42.901792702428786
11,Nyarugenge,Gitega,1,Kigali City,1101,-0.5532501783528139,2021,4,2021-04,-1.23176588037482,-0.5150951714943842,0.28241949403928573,-1.510505418049785,0.22,0.419,0.092,-0.0031818800882516206,-0.0041252684547056495,0.0016945169642357146,-0.004312720288662338,-0.0003181880088251621,-0.0010781800721655845,-0.00010313171136764124,2.8241949403928575e-05,0.3500429432286221,35.004294322862215
11,Nyarugenge,Gitega,1,Kigali City,1101,0.00992582610866812,2021,5,2021-05,-0.8115031923553558,1.9846420224089458,-0.472776505642918,-1.8540680287922728,0.016,0.385,0.006,5.708590740747752e-05,0.015894501796967643,-0.002836659033857508,-0.00284127555223419,5.708590740747752e-06,-0.0007103188880585475,0.00039736254492419107,-4.72776505642918e-05,0.29037978577961615,29.037978577961614
11,Nyarugenge,Gitega,1,Kigali City,1101,2.686573042502588,2021,6,2021-06,0.0187223105381233,1.1612991968445152,-0.06686701917450674,-1.3982351265206276,0.017,0.378,0.007,0.015451153210693009,0.00930055494272851,-0.00040120211504704044,6.55514897716042e-05,0.0015451153210693008,1.638787244290105e-05,0.00023251387356821278,-6.686701917450674e-06,0.3695398263902493,36.95398263902493
11,Nyarugenge,Gitega,1,Kigali City,1101,3.116936849363392,2021,7,2021-07,1.4954655544068003,-0.13444868897242923,-0.06593630127776234,1.435664296332197,0.022,0.395,0.009,0.01792628305490121,-0.0010767659378079423,-0.00039561780766657405,0.00523599877236681,0.001792628305490121,0.0013089996930917024,-2.6919148445198558e-05,-6.593630127776234e-06,0.8616754144127946,86.16754144127945
11,Nyarugenge,Gitega,1,Kigali City,1101,2.9687802387028808,2021,8,2021-08,1.6728483424411815,0.2942073218338849,0.08403545148883985,1.078182156325007,0.05,0.404,0.02,0.01707419734783994,0.0023562328887371258,0.0005042127089330392,0.005857060258972187,0.001707419734783994,0.0014642650647430468,5.890582221842814e-05,8.403545148883987e-06,0.7995949884946115,79.95949884946116
11,Nyarugenge,Gitega,1,Kigali City,1101,2.0459103493913897,2021,9,2021-09,0.951158402398191,-0.9754001004800374,0.32881301912151734,0.0768115781790891,0.133,0.429,0.057,0.011766541896937231,-0.0078117355547195,0.001972878114729104,0.0033302433563966666,0.001176654189693723,0.0008325608390991667,-0.00019529338886798748,3.288130191215174e-05,0.6256967568459328,62.569675684593285
11,Nyarugenge,Gitega,1,Kigali City,1101,2.4629899798376647,2021,10,2021-10,0.14306070595640016,1.0740196287620398,0.3347956256493252,0.7301626700355247,0.208,0.425,0.088,0.014165271121541367,0.008601554701847987,0.002008773753895951,0.0005008912967298462,0.0014165271121541368,0.00012522282418246154,0.00021503886754619967,3.347956256493252e-05,0.7391578490720833,73.91578490720832
11,Nyarugenge,Gitega,1,Kigali City,1101,2.377630880289801,2021,11,2021-11,0.2676188554717616,0.9901846620847596,-0.1421567784298794,0.6758179094807024,0.025,0.404,0.01,0.013674349600266717,0.00793014141247132,-0.0008529406705792764,0.0009370005177205054,0.0013674349600266717,0.00023425012943012634,0.00019825353531178298,-1.421567784298794e-05,0.7297203261748634,72.97203261748633
11,Nyarugenge,Gitega,1,Kigali City,1101,0.8414660622282205,2021,12,2021-12,-0.02210755190336694,-1.3199335826856096,-1.2521156991961102,0.3332213962649554,0.167,0.438,0.073,0.004839481690390053,-0.010571018080333373,-0.007512694195176662,-7.740406610166351e-05,0.0004839481690390053,-1.9351016525415878e-05,-0.0002642754520083343,-0.00012521156991961103,0.6702249414317537,67.02249414317536
11,Nyarugenge,Gitega,1,Kigali City,1101,0.815523232795884,2022,1,2022-01,1.4669580323881348,0.27368139229872285,-1.4109155184956244,0.7467890663786961,0.336,0.427,0.143,0.004690277992617328,0.0021918458505723964,-0.008465493110973747,0.005136186810898957,0.0004690277992617328,0.0012840467027247394,5.479614626430991e-05,-0.00014109155184956245,0.7420451926648229,74.2045192664823
11,Nyarugenge,Gitega,1,Kigali City,1101,0.46040266544929337,2022,2,2022-02,2.8266087080563973,0.9802494118634952,-0.9187918240932651,0.7730440337702468,0.125,0.427,0.053,0.0026478908296652484,0.007850572477261767,-0.0055127509445595906,0.009896663739082462,0.00026478908296652485,0.0024741659347706155,0.00019626431193154416,-9.187918240932651e-05,0.7466046359928245,74.66046359928245
11,Nyarugenge,Gitega,1,Kigali City,1101,0.5972558697643555,2022,3,2022-03,-0.17817663808727152,-0.46592491077961623,-1.2075831985715397,1.351068066573163,0.054,0.414,0.022,0.0034349678209822498,-0.0037314761292062512,-0.007245499191429239,-0.0006238409541030594,0.000343496782098225,-0.00015596023852576486,-9.328690323015628e-05,-0.00012075831985715397,0.8469844148165415,84.69844148165416
11,Nyarugenge,Gitega,1,Kigali City,1101,0.5691311130411263,2022,4,2022-04,-1.4386486507665128,0.302365169104456,-0.9119732783606999,0.7376474220662612,0.023,0.402,0.009,0.0032732153138777774,0.0024215670480653116,-0.005471839670164199,-0.005037068588496253,0.00032732153138777774,-0.0012592671471240633,6.053917620163279e-05,-9.119732783606999e-05,0.740457652732067,74.0457652732067
11,Nyarugenge,Gitega,1,Kigali City,1101,1.1991435911444637,2022,5,2022-05,-0.7953619768814113,1.6148449467424668,-0.21776816717401276,0.9044398680385287,0.03,0.4,0.012,0.006896574578569596,0.01293288946722373,-0.0013066090030440765,-0.0027847611215560415,0.0006896574578569596,-0.0006961902803890104,0.0003233222366805932,-2.1776816717401275e-05,0.7694228650520044,76.94228650520044
11,Nyarugenge,Gitega,1,Kigali City,1101,3.015296063818474,2022,6,2022-06,-0.5828753839727641,0.3200463428145023,0.4449730880924014,1.3051224514483122,0.064,0.409,0.026,0.017341721487035996,0.002563171148015645,0.002669838528554408,-0.00204079243813464,0.0017341721487035995,-0.00051019810953366,6.407927870039112e-05,4.449730880924013e-05,0.8390054893352118,83.90054893352118
11,Nyarugenge,Gitega,1,Kigali City,1101,3.7730473313065422,2022,7,2022-07,0.6181158297560535,-0.9890654268167125,0.9217478050378006,1.7617520616923035,0.014,0.397,0.005,0.02169973846417675,-0.007921177737018345,0.005530486830226803,0.002164178048933382,0.002169973846417675,0.0005410445122333455,-0.00019802944342545863,9.217478050378006e-05,0.9183038864250097,91.83038864250096
11,Nyarugenge,Gitega,1,Kigali City,1101,2.588991478143281,2022,8,2022-08,1.5979592432533387,1.053094432904317,1.4198245673758993,0.8799581658576073,0.048,0.407,0.019,0.014889937238671545,0.008433970039522449,0.008518947404255395,0.0055948548004407525,0.0014889937238671545,0.0013987137001101881,0.0002108492509880612,0.0001419824567375899,0.7651713673448375,76.51713673448374
11,Nyarugenge,Gitega,1,Kigali City,1101,1.485846012404686,2022,9,2022-09,0.6661950019051198,-0.30300494749653445,1.884218228940126,1.039595377091834,0.113,0.415,0.047,0.00854547187884245,-0.00242669087326287,0.011305309373640755,0.0023325152504203007,0.000854547187884245,0.0005831288126050752,-6.066727183157175e-05,0.0001884218228940126,0.792894000049264,79.2894000049264
11,Nyarugenge,Gitega,1,Kigali City,1101,2.8235211559694546,2022,10,2022-10,0.7075217607196128,-0.7745450272361311,2.2769969555505045,0.9955322806677483,0.015,0.378,0.006,0.016238776048269326,-0.006203137486877364,0.013661981733303026,0.0024772105647195442,0.0016238776048269326,0.0006193026411798861,-0.0001550784371719341,0.00022769969555505042,0.7852419931735466,78.52419931735466
11,Nyarugenge,Gitega,1,Kigali City,1101,0.6868290316706918,2022,11,2022-11,0.7080529677894921,-0.11545105637747509,1.496593261863048,0.2932309376238252,0.018,0.384,0.007,0.0039501254683960655,-0.0009246186477631036,0.008979559571178288,0.002479070453472959,0.00039501254683960656,0.0006197676133682398,-2.311546619407759e-05,0.0001496593261863048,0.6632801897161718,66.32801897161717
11,Nyarugenge,Gitega,1,Kigali City,1101,0.26349070234679484,2022,12,2022-12,-0.25610340326132125,1.4089594132069603,0.8512866491289,0.6520072669572732,0.225,0.42,0.095,0.0015154009018720038,0.01128400370052124,0.0051077198947734,-0.000896682040668701,0.00015154009018720038,-0.00022417051016717526,0.000282100092513031,8.512866491289e-05,0.7255853648332692,72.55853648332692
